identifier,Tail_1.1,Tail_2.1,Ion_1.1,Ion_2.1,Spacer.1,SMILES,Surfactant_Type,Temp_Celsius,pCMC,source_doi,CMC,Molecular_Weight,InChI
18,,,,,,CCCCCCCCCCCC[N+](C)(C)CC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],cationic gemini,25.0,3.0969,10.1016/j.chemosphere.2011.05.031,0.0008000184448550986,614.6800000000005,"InChI=1S/C30H66N2.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-31(3,4)29-30-32(5,6)28-26-24-22-20-18-16-14-12-10-8-2;;/h7-30H2,1-6H3;2*1H/q+2;;/p-2"
19b,,,,,,CCCCCCCCCCCC[N+](C)(C)CCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],cationic gemini,25.0,3.0269,10.1016/j.chemosphere.2011.05.031,0.0009399397147667809,628.7070000000004,"InChI=1S/C31H68N2.2BrH/c1-7-9-11-13-15-17-19-21-23-25-28-32(3,4)30-27-31-33(5,6)29-26-24-22-20-18-16-14-12-10-8-2;;/h7-31H2,1-6H3;2*1H/q+2;;/p-2"
20,,,,,,CCCCCCCCCCCC[N+](C)(C)CCCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],cationic gemini,25.0,2.9318,10.1016/j.chemosphere.2011.05.031,0.0011700380894230475,642.7340000000005,"InChI=1S/C32H70N2.2BrH/c1-7-9-11-13-15-17-19-21-23-25-29-33(3,4)31-27-28-32-34(5,6)30-26-24-22-20-18-16-14-12-10-8-2;;/h7-32H2,1-6H3;2*1H/q+2;;/p-2"
21,,,,,,CCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],cationic gemini,25.0,2.9872,10.1016/j.chemosphere.2011.05.031,0.0010299117193406989,670.7880000000006,"InChI=1S/C34H74N2.2BrH/c1-7-9-11-13-15-17-19-21-23-27-31-35(3,4)33-29-25-26-30-34-36(5,6)32-28-24-22-20-18-16-14-12-10-8-2;;/h7-34H2,1-6H3;2*1H/q+2;;/p-2"
22,,,,,,CCCCCCCCCCCC[N+](C)(C)CCCCCCCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],cationic gemini,25.0,3.0809,10.1016/j.chemosphere.2011.05.031,0.0008300418697157006,698.8420000000006,"InChI=1S/C36H78N2.2BrH/c1-7-9-11-13-15-17-19-21-25-29-33-37(3,4)35-31-27-23-24-28-32-36-38(5,6)34-30-26-22-20-18-16-14-12-10-8-2;;/h7-36H2,1-6H3;2*1H/q+2;;/p-2"
23,,,,,,CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],cationic gemini,25.0,3.2007,10.1016/j.chemosphere.2011.05.031,0.0006299411805485587,726.8960000000004,"InChI=1S/C38H82N2.2BrH/c1-7-9-11-13-15-17-19-23-27-31-35-39(3,4)37-33-29-25-21-22-26-30-34-38-40(5,6)36-32-28-24-20-18-16-14-12-10-8-2;;/h7-38H2,1-6H3;2*1H/q+2;;/p-2"
24,,,,,,CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],cationic gemini,25.0,3.4318,10.1016/j.chemosphere.2011.05.031,0.00036999853117285957,754.9500000000003,"InChI=1S/C40H86N2.2BrH/c1-7-9-11-13-15-17-21-25-29-33-37-41(3,4)39-35-31-27-23-19-20-24-28-32-36-40-42(5,6)38-34-30-26-22-18-16-14-12-10-8-2;;/h7-40H2,1-6H3;2*1H/q+2;;/p-2"
25,,,,,,CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],cationic gemini,25.0,3.699,10.1016/j.chemosphere.2011.05.031,0.00019998618696327449,783.0040000000001,"InChI=1S/C42H90N2.2BrH/c1-7-9-11-13-15-17-23-27-31-35-39-43(3,4)41-37-33-29-25-21-19-20-22-26-30-34-38-42-44(5,6)40-36-32-28-24-18-16-14-12-10-8-2;;/h7-42H2,1-6H3;2*1H/q+2;;/p-2"
26,,,,,,CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],cationic gemini,25.0,3.9208,10.1016/j.chemosphere.2011.05.031,0.00012000518202042658,811.058,"InChI=1S/C44H94N2.2BrH/c1-7-9-11-13-15-17-25-29-33-37-41-45(3,4)43-39-35-31-27-23-21-19-20-22-24-28-32-36-40-44-46(5,6)42-38-34-30-26-18-16-14-12-10-8-2;;/h7-44H2,1-6H3;2*1H/q+2;;/p-2"
27,,,,,,CCCCCCCC[N+](C)(C)CCC[N+](C)(C)CCCCCCCC.[Br-].[Br-],cationic gemini,25.0,1.8601,10.1016/j.chemosphere.2011.05.031,0.013800664559703319,516.4910000000002,"InChI=1S/C23H52N2.2BrH/c1-7-9-11-13-15-17-20-24(3,4)22-19-23-25(5,6)21-18-16-14-12-10-8-2;;/h7-23H2,1-6H3;2*1H/q+2;;/p-2"
28,,,,,,CCCCCCCC[N+](C)(C)CCCC[N+](C)(C)CCCCCCCC.[Br-].[Br-],cationic gemini,25.0,1.5817,10.1016/j.chemosphere.2011.05.031,0.02619992209772759,530.5180000000003,"InChI=1S/C24H54N2.2BrH/c1-7-9-11-13-15-17-21-25(3,4)23-19-20-24-26(5,6)22-18-16-14-12-10-8-2;;/h7-24H2,1-6H3;2*1H/q+2;;/p-2"
29b,,,,,,CCCCCCCC[N+](C)(C)CCCCC[N+](C)(C)CCCCCCCC.[Br-].[Br-],cationic gemini,25.0,1.58,10.1016/j.chemosphere.2011.05.031,0.026302679918953815,544.5450000000003,"InChI=1S/C25H56N2.2BrH/c1-7-9-11-13-15-18-22-26(3,4)24-20-17-21-25-27(5,6)23-19-16-14-12-10-8-2;;/h7-25H2,1-6H3;2*1H/q+2;;/p-2"
30,,,,,,CCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCCCC.[Br-].[Br-],cationic gemini,25.0,1.5986,10.1016/j.chemosphere.2011.05.031,0.025199968621092382,558.5720000000003,"InChI=1S/C26H58N2.2BrH/c1-7-9-11-13-15-19-23-27(3,4)25-21-17-18-22-26-28(5,6)24-20-16-14-12-10-8-2;;/h7-26H2,1-6H3;2*1H/q+2;;/p-2"
31,,,,,,CCCCCCCCCCCCCCCC[N+](C)(C)CC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-],cationic gemini,25.0,4.6778,10.1016/j.chemosphere.2011.05.031,2.099906703762424e-05,726.8960000000004,"InChI=1S/C38H82N2.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-29-31-33-35-39(3,4)37-38-40(5,6)36-34-32-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h7-38H2,1-6H3;2*1H/q+2;;/p-2"
32,,,,,,CCCCCCCCCCCCCCCC[N+](C)(C)CCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-],cationic gemini,25.0,4.5686,10.1016/j.chemosphere.2011.05.031,2.7002252868882392e-05,754.9500000000003,"InChI=1S/C40H86N2.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-29-31-33-37-41(3,4)39-35-36-40-42(5,6)38-34-32-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h7-40H2,1-6H3;2*1H/q+2;;/p-2"
33,,,,,,CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-],cationic gemini,25.0,4.3665,10.1016/j.chemosphere.2011.05.031,4.3003123363054406e-05,783.0040000000001,"InChI=1S/C42H90N2.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-29-31-35-39-43(3,4)41-37-33-34-38-42-44(5,6)40-36-32-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h7-42H2,1-6H3;2*1H/q+2;;/p-2"
34,,,,,,CCCCCCCCCCCCCCCC[N+](C)(C)CCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-],cationic gemini,25.0,4.6021,10.1016/j.chemosphere.2011.05.031,2.4997697021785076e-05,740.9230000000003,"InChI=1S/C39H84N2.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-29-31-33-36-40(3,4)38-35-39-41(5,6)37-34-32-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h7-39H2,1-6H3;2*1H/q+2;;/p-2"
35,,,,,,CCCCCCCCCCCCCCCC[N+](C)(C)CCCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-],cationic gemini,25.0,4.4437,10.1016/j.chemosphere.2011.05.031,3.5999792704335684e-05,768.9770000000002,"InChI=1S/C41H88N2.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-29-31-34-38-42(3,4)40-36-33-37-41-43(5,6)39-35-32-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h7-41H2,1-6H3;2*1H/q+2;;/p-2"
36,,,,,,CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-],cationic gemini,25.0,4.4815,10.1016/j.chemosphere.2011.05.031,3.299894079108352e-05,811.058,"InChI=1S/C44H94N2.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-29-33-37-41-45(3,4)43-39-35-31-32-36-40-44-46(5,6)42-38-34-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h7-44H2,1-6H3;2*1H/q+2;;/p-2"
37,,,,,,CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-],cationic gemini,25.0,4.5686,10.1016/j.chemosphere.2011.05.031,2.7002252868882392e-05,839.1119999999999,"InChI=1S/C46H98N2.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-31-35-39-43-47(3,4)45-41-37-33-29-30-34-38-42-46-48(5,6)44-40-36-32-28-26-24-22-20-18-16-14-12-10-8-2;;/h7-46H2,1-6H3;2*1H/q+2;;/p-2"
38,,,,,,CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-],cationic gemini,25.0,4.699,10.1016/j.chemosphere.2011.05.031,1.9998618696327447e-05,867.1659999999997,"InChI=1S/C48H102N2.2BrH/c1-7-9-11-13-15-17-19-21-23-25-29-33-37-41-45-49(3,4)47-43-39-35-31-27-28-32-36-40-44-48-50(5,6)46-42-38-34-30-26-24-22-20-18-16-14-12-10-8-2;;/h7-48H2,1-6H3;2*1H/q+2;;/p-2"
39b,,,,,,CCCCCCCCCC[N+](C)(C)CCCC[N+](C)(C)CCCCCCCCCC.[Br-].[Br-],cationic gemini,25.0,2.0565,10.1016/j.chemosphere.2011.05.031,0.008780110870965294,586.6260000000004,"InChI=1S/C28H62N2.2BrH/c1-7-9-11-13-15-17-19-21-25-29(3,4)27-23-24-28-30(5,6)26-22-20-18-16-14-12-10-8-2;;/h7-28H2,1-6H3;2*1H/q+2;;/p-2"
40,,,,,,CCCCCCCCCCCCCC[N+](C)(C)CCCC[N+](C)(C)CCCCCCCCCCCCCC.[Br-].[Br-],cationic gemini,25.0,3.8697,10.1016/j.chemosphere.2011.05.031,0.00013498950350559802,698.8420000000006,"InChI=1S/C36H78N2.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-29-33-37(3,4)35-31-32-36-38(5,6)34-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h7-36H2,1-6H3;2*1H/q+2;;/p-2"
41,,,,,,CCCCCCCCCC[N+](C)(C)CC[N+](C)(C)CCCCCCCCCC.[Br-].[Br-],cationic gemini,25.0,2.2076,10.1016/j.chemosphere.2011.05.031,0.006200118642087248,558.5720000000003,"InChI=1S/C26H58N2.2BrH/c1-7-9-11-13-15-17-19-21-23-27(3,4)25-26-28(5,6)24-22-20-18-16-14-12-10-8-2;;/h7-26H2,1-6H3;2*1H/q+2;;/p-2"
42,,,,,,CCCCCCCCCC[N+](C)(C)CCC[N+](C)(C)CCCCCCCCCC.[Br-].[Br-],cationic gemini,25.0,2.1871,10.1016/j.chemosphere.2011.05.031,0.0064998000968302504,572.5990000000004,"InChI=1S/C27H60N2.2BrH/c1-7-9-11-13-15-17-19-21-24-28(3,4)26-23-27-29(5,6)25-22-20-18-16-14-12-10-8-2;;/h7-27H2,1-6H3;2*1H/q+2;;/p-2"
43,,,,,,CCCCCCCCCC[N+](C)(C)CCCC[N+](C)(C)CCCCCCCCCC.[Br-].[Br-],cationic gemini,25.0,2.0605,10.1016/j.chemosphere.2011.05.031,0.008699614330652673,586.6260000000004,"InChI=1S/C28H62N2.2BrH/c1-7-9-11-13-15-17-19-21-25-29(3,4)27-23-24-28-30(5,6)26-22-20-18-16-14-12-10-8-2;;/h7-28H2,1-6H3;2*1H/q+2;;/p-2"
44,,,,,,CCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCCCCCC.[Br-].[Br-],cationic gemini,25.0,2.0362,10.1016/j.chemosphere.2011.05.031,0.00920025786648233,614.6800000000004,"InChI=1S/C30H66N2.2BrH/c1-7-9-11-13-15-17-19-23-27-31(3,4)29-25-21-22-26-30-32(5,6)28-24-20-18-16-14-12-10-8-2;;/h7-30H2,1-6H3;2*1H/q+2;;/p-2"
45,,,,,,CCCCCCCCCC[N+](C)(C)CCCCCCCC[N+](C)(C)CCCCCCCCCC.[Br-].[Br-],cationic gemini,25.0,2.1249,10.1016/j.chemosphere.2011.05.031,0.0075006689873606865,642.7340000000005,"InChI=1S/C32H70N2.2BrH/c1-7-9-11-13-15-17-21-25-29-33(3,4)31-27-23-19-20-24-28-32-34(5,6)30-26-22-18-16-14-12-10-8-2;;/h7-32H2,1-6H3;2*1H/q+2;;/p-2"
46,,,,,,CCCCCCCCCC[N+](C)(C)CCCCCCCCCC[N+](C)(C)CCCCCCCCCC.[Br-].[Br-],cationic gemini,25.0,2.3768,10.1016/j.chemosphere.2011.05.031,0.00419952334664066,670.7880000000006,"InChI=1S/C34H74N2.2BrH/c1-7-9-11-13-15-19-23-27-31-35(3,4)33-29-25-21-17-18-22-26-30-34-36(5,6)32-28-24-20-16-14-12-10-8-2;;/h7-34H2,1-6H3;2*1H/q+2;;/p-2"
47,,,,,,CCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCC.[Br-].[Br-],cationic gemini,25.0,2.6576,10.1016/j.chemosphere.2011.05.031,0.002199885109049249,698.8420000000006,"InChI=1S/C36H78N2.2BrH/c1-7-9-11-13-15-21-25-29-33-37(3,4)35-31-27-23-19-17-18-20-24-28-32-36-38(5,6)34-30-26-22-16-14-12-10-8-2;;/h7-36H2,1-6H3;2*1H/q+2;;/p-2"
48,,,,,,CCCCCC[N+](C)(C)CCCCC[N+](C)(C)CCCCCC.[Br-].[Br-],cationic gemini,25.0,0.7959,10.1016/j.chemosphere.2011.05.031,0.15999263828685986,488.4370000000001,"InChI=1S/C21H48N2.2BrH/c1-7-9-11-14-18-22(3,4)20-16-13-17-21-23(5,6)19-15-12-10-8-2;;/h7-21H2,1-6H3;2*1H/q+2;;/p-2"
49b,,,,,,CCCCCCCCC[N+](C)(C)CCCCC[N+](C)(C)CCCCCCCCC.[Br-].[Br-],cationic gemini,25.0,1.6021,10.1016/j.chemosphere.2011.05.031,0.024997697021785076,572.5990000000004,"InChI=1S/C27H60N2.2BrH/c1-7-9-11-13-15-17-20-24-28(3,4)26-22-19-23-27-29(5,6)25-21-18-16-14-12-10-8-2;;/h7-27H2,1-6H3;2*1H/q+2;;/p-2"
50,,,,,,CCCCCCCCCC[N+](C)(C)CCCCC[N+](C)(C)CCCCCCCCCC.[Br-].[Br-],cationic gemini,25.0,2.0506,10.1016/j.chemosphere.2011.05.031,0.008900204796255255,600.6530000000004,"InChI=1S/C29H64N2.2BrH/c1-7-9-11-13-15-17-19-22-26-30(3,4)28-24-21-25-29-31(5,6)27-23-20-18-16-14-12-10-8-2;;/h7-29H2,1-6H3;2*1H/q+2;;/p-2"
51,,,,,,CCCCCCCCCCC[N+](C)(C)CCCCC[N+](C)(C)CCCCCCCCCCC.[Br-].[Br-],cationic gemini,25.0,2.5229,10.1016/j.chemosphere.2011.05.031,0.0029998531811907935,628.7070000000004,"InChI=1S/C31H68N2.2BrH/c1-7-9-11-13-15-17-19-21-24-28-32(3,4)30-26-23-27-31-33(5,6)29-25-22-20-18-16-14-12-10-8-2;;/h7-31H2,1-6H3;2*1H/q+2;;/p-2"
52,,,,,,CCCCCCCCCCCC[N+](C)(C)CCCCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],cationic gemini,25.0,2.9586,10.1016/j.chemosphere.2011.05.031,0.0011000185275062205,656.7610000000005,"InChI=1S/C33H72N2.2BrH/c1-7-9-11-13-15-17-19-21-23-26-30-34(3,4)32-28-25-29-33-35(5,6)31-27-24-22-20-18-16-14-12-10-8-2;;/h7-33H2,1-6H3;2*1H/q+2;;/p-2"
53,,,,,,CCCCCCCCCCCCC[N+](C)(C)CCCCC[N+](C)(C)CCCCCCCCCCCCC.[Br-].[Br-],cationic gemini,25.0,3.3872,10.1016/j.chemosphere.2011.05.031,0.00041001524050661333,684.8150000000006,"InChI=1S/C35H76N2.2BrH/c1-7-9-11-13-15-17-19-21-23-25-28-32-36(3,4)34-30-27-31-35-37(5,6)33-29-26-24-22-20-18-16-14-12-10-8-2;;/h7-35H2,1-6H3;2*1H/q+2;;/p-2"
54,,,,,,CCCCCCCCCCCCCC[N+](C)(C)CCCCC[N+](C)(C)CCCCCCCCCCCCCC.[Br-].[Br-],cationic gemini,25.0,3.7447,10.1016/j.chemosphere.2011.05.031,0.00018001139604180113,712.8690000000005,"InChI=1S/C37H80N2.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-30-34-38(3,4)36-32-29-33-37-39(5,6)35-31-28-26-24-22-20-18-16-14-12-10-8-2;;/h7-37H2,1-6H3;2*1H/q+2;;/p-2"
55,,,,,,CCCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCCCCCCC.[Br-].[Br-],cationic gemini,25.0,3.0555,10.1016/j.chemosphere.2011.05.031,0.0008800351116873231,670.7880000000006,"InChI=1S/C34H74N2.2BrH/c1-7-9-11-13-15-17-18-20-22-24-28-32-36(5,6)34-30-26-25-29-33-35(3,4)31-27-23-21-19-16-14-12-10-8-2;;/h7-34H2,1-6H3;2*1H/q+2;;/p-2"
56,,,,,,CCCCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCCCCCC.[Br-].[Br-],cationic gemini,25.0,3.0757,10.1016/j.chemosphere.2011.05.031,0.0008400400652637691,670.7880000000006,"InChI=1S/C34H74N2.2BrH/c1-7-9-11-13-15-17-18-19-20-22-24-28-32-36(5,6)34-30-26-25-29-33-35(3,4)31-27-23-21-16-14-12-10-8-2;;/h7-34H2,1-6H3;2*1H/q+2;;/p-2"
57,,,,,,CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCCCC.[Br-].[Br-],cationic gemini,25.0,3.1249,10.1016/j.chemosphere.2011.05.031,0.0007500668987360687,670.7880000000006,"InChI=1S/C34H74N2.2BrH/c1-7-9-11-13-15-16-17-18-19-20-21-22-24-28-32-36(5,6)34-30-26-25-29-33-35(3,4)31-27-23-14-12-10-8-2;;/h7-34H2,1-6H3;2*1H/q+2;;/p-2"
58,,,,,,CCCCCCCCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCC.[Br-].[Br-],cationic gemini,25.0,3.2291,10.1016/j.chemosphere.2011.05.031,0.0005900651969956664,670.7880000000005,"InChI=1S/C34H74N2.2BrH/c1-7-9-11-13-14-15-16-17-18-19-20-21-22-23-24-28-32-36(5,6)34-30-26-25-29-33-35(3,4)31-27-12-10-8-2;;/h7-34H2,1-6H3;2*1H/q+2;;/p-2"
59b,,,,,,CCCCCCCC[N+](C)(C)CCCCNC[N+](C)(C)CCCCCCCC.[Br-].[Br-],cationic gemini,25.0,1.5086,10.1016/j.chemosphere.2011.05.031,0.031002734419981914,559.5600000000004,"InChI=1S/C25H57N3.2BrH/c1-7-9-11-13-15-18-22-27(3,4)23-20-17-21-26-25-28(5,6)24-19-16-14-12-10-8-2;;/h26H,7-25H2,1-6H3;2*1H/q+2;;/p-2"
