identifier,source_doi,reference_doi,SMILES,Temp_Celsius,method,InChI,Molecular_Weight,CMC,pCMC
14-2-14,10.1016/j.crci.2019.04.002,10.26850/1678-4618eqj.v32.2.2007.p47-54,CCCCCCCCCCCCCC[N+](C)(C)CC[N+](C)(C)CCCCCCCCCCCCCC.[Br-].[Br-],25.0,conductometry,"InChI=1S/C34H74N2.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-29-31-35(3,4)33-34-36(5,6)32-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h7-34H2,1-6H3;2*1H/q+2;;/p-2",670.7880000000006,,
16-2-16,10.1016/j.crci.2019.04.002,10.26850/1678-4618eqj.v32.2.2007.p47-54,CCCCCCCCCCCCCCCC[N+](C)(C)CC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-],25.0,conductometry,"InChI=1S/C38H82N2.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-29-31-33-35-39(3,4)37-38-40(5,6)36-34-32-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h7-38H2,1-6H3;2*1H/q+2;;/p-2",726.8960000000004,4e-05,4.3979400086720375
18-2-18,10.1016/j.crci.2019.04.002,10.26850/1678-4618eqj.v32.2.2007.p47-54,CCCCCCCCCCCCCCCCCC[N+](C)(C)CC[N+](C)(C)CCCCCCCCCCCCCCCCCC.[Br-].[Br-],25.0,conductometry,"InChI=1S/C42H90N2.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-29-31-33-35-37-39-43(3,4)41-42-44(5,6)40-38-36-34-32-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h7-42H2,1-6H3;2*1H/q+2;;/p-2",783.004,,
8-3-8,10.1016/j.crci.2019.04.002,10.1007/BF02517994,CCCCCCCC[N+](C)(C)CCC[N+](C)(C)CCCCCCCC.[Cl-].[Cl-],20.0,conductometry,"InChI=1S/C23H52N2.2ClH/c1-7-9-11-13-15-17-20-24(3,4)22-19-23-25(5,6)21-18-16-14-12-10-8-2;;/h7-23H2,1-6H3;2*1H/q+2;;/p-2",427.5890000000003,,
10-3-10,10.1016/j.crci.2019.04.002,10.1007/BF02517994,CCCCCCCCCC[N+](C)(C)CCC[N+](C)(C)CCCCCCCCCC.[Cl-].[Cl-],20.0,conductometry,"InChI=1S/C27H60N2.2ClH/c1-7-9-11-13-15-17-19-21-24-28(3,4)26-23-27-29(5,6)25-22-20-18-16-14-12-10-8-2;;/h7-27H2,1-6H3;2*1H/q+2;;/p-2",483.69700000000034,,
12-3-12,10.1016/j.crci.2019.04.002,10.1007/BF02517994,CCCCCCCCCCCC[N+](C)(C)CCC[N+](C)(C)CCCCCCCCCCCC.[Cl-].[Cl-],20.0,conductometry,"InChI=1S/C31H68N2.2ClH/c1-7-9-11-13-15-17-19-21-23-25-28-32(3,4)30-27-31-33(5,6)29-26-24-22-20-18-16-14-12-10-8-2;;/h7-31H2,1-6H3;2*1H/q+2;;/p-2",539.8050000000004,0.00098,3.0087739243075053
14-3-14,10.1016/j.crci.2019.04.002,10.1007/BF02517994,CCCCCCCCCCCCCC[N+](C)(C)CCC[N+](C)(C)CCCCCCCCCCCCCC.[Cl-].[Cl-],20.0,conductometry,"InChI=1S/C35H76N2.2ClH/c1-7-9-11-13-15-17-19-21-23-25-27-29-32-36(3,4)34-31-35-37(5,6)33-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h7-35H2,1-6H3;2*1H/q+2;;/p-2",595.9130000000006,0.00011,3.958607314841775
16-3-16,10.1016/j.crci.2019.04.002,10.1007/BF02517994,CCCCCCCCCCCCCCCC[N+](C)(C)CCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Cl-].[Cl-],20.0,conductometry,"InChI=1S/C39H84N2.2ClH/c1-7-9-11-13-15-17-19-21-23-25-27-29-31-33-36-40(3,4)38-35-39-41(5,6)37-34-32-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h7-39H2,1-6H3;2*1H/q+2;;/p-2",652.0210000000003,1.4999999999999999e-05,4.823908740944319
18-3-18,10.1016/j.crci.2019.04.002,10.1007/BF02517994,CCCCCCCCCCCCCCCCCC[N+](C)(C)CCC[N+](C)(C)CCCCCCCCCCCCCCCCCC.[Cl-].[Cl-],20.0,conductometry,"InChI=1S/C43H92N2.2ClH/c1-7-9-11-13-15-17-19-21-23-25-27-29-31-33-35-37-40-44(3,4)42-39-43-45(5,6)41-38-36-34-32-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h7-43H2,1-6H3;2*1H/q+2;;/p-2",708.1289999999999,,
8-4-8,10.1016/j.crci.2019.04.002,10.1021/la9910576,CCCCCCCC[N+](C)(C)CCCC[N+](C)(C)CCCCCCCC.[Br-].[Br-],23.0,conductometry,"InChI=1S/C24H54N2.2BrH/c1-7-9-11-13-15-17-21-25(3,4)23-19-20-24-26(5,6)22-18-16-14-12-10-8-2;;/h7-24H2,1-6H3;2*1H/q+2;;/p-2",530.5180000000003,0.056,1.2518119729937995
10-4-10,10.1016/j.crci.2019.04.002,10.1021/la9910576,CCCCCCCCCC[N+](C)(C)CCCC[N+](C)(C)CCCCCCCCCC.[Br-].[Br-],23.0,conductometry,"InChI=1S/C28H62N2.2BrH/c1-7-9-11-13-15-17-19-21-25-29(3,4)27-23-24-28-30(5,6)26-22-20-18-16-14-12-10-8-2;;/h7-28H2,1-6H3;2*1H/q+2;;/p-2",586.6260000000004,0.00878,2.0565054840938974
12-4-12,10.1016/j.crci.2019.04.002,10.1021/la9910576,CCCCCCCCCCCC[N+](C)(C)CCCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],23.0,conductometry,"InChI=1S/C32H70N2.2BrH/c1-7-9-11-13-15-17-19-21-23-25-29-33(3,4)31-27-28-32-34(5,6)30-26-24-22-20-18-16-14-12-10-8-2;;/h7-32H2,1-6H3;2*1H/q+2;;/p-2",642.7340000000005,0.00093,3.0315170514460648
14-4-14,10.1016/j.crci.2019.04.002,10.1021/la9910576,CCCCCCCCCCCCCC[N+](C)(C)CCCC[N+](C)(C)CCCCCCCCCCCCCC.[Br-].[Br-],23.0,conductometry,"InChI=1S/C36H78N2.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-29-33-37(3,4)35-31-32-36-38(5,6)34-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h7-36H2,1-6H3;2*1H/q+2;;/p-2",698.8420000000006,0.000135,3.869666231504994
16-4-16,10.1016/j.crci.2019.04.002,10.1021/la9910576,CCCCCCCCCCCCCCCC[N+](C)(C)CCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-],23.0,conductometry,"InChI=1S/C40H86N2.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-29-31-33-37-41(3,4)39-35-36-40-42(5,6)38-34-32-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h7-40H2,1-6H3;2*1H/q+2;;/p-2",754.9500000000003,4.22e-05,4.374687549038326
18-4-18,10.1016/j.crci.2019.04.002,10.1021/la9910576,CCCCCCCCCCCCCCCCCC[N+](C)(C)CCCC[N+](C)(C)CCCCCCCCCCCCCCCCCC.[Br-].[Br-],23.0,conductometry,"InChI=1S/C44H94N2.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-29-31-33-35-37-41-45(3,4)43-39-40-44-46(5,6)42-38-36-34-32-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h7-44H2,1-6H3;2*1H/q+2;;/p-2",811.0579999999999,4.19e-05,4.377785977033705
8-6-8,10.1016/j.crci.2019.04.002,10.1515/tsd-1985-220105,CCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCCCC.[Br-].[Br-],20.0,conductometry,"InChI=1S/C26H58N2.2BrH/c1-7-9-11-13-15-19-23-27(3,4)25-21-17-18-22-26-28(5,6)24-20-16-14-12-10-8-2;;/h7-26H2,1-6H3;2*1H/q+2;;/p-2",558.5720000000003,0.025,1.6020599913279623
10-6-10,10.1016/j.crci.2019.04.002,10.1515/tsd-1985-220105,CCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCCCCCC.[Br-].[Br-],20.0,conductometry,"InChI=1S/C30H66N2.2BrH/c1-7-9-11-13-15-17-19-23-27-31(3,4)29-25-21-22-26-30-32(5,6)28-24-20-18-16-14-12-10-8-2;;/h7-30H2,1-6H3;2*1H/q+2;;/p-2",614.6800000000004,0.008199999999999999,2.0861861476162833
12-6-12,10.1016/j.crci.2019.04.002,10.1515/tsd-1985-220105,CCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],20.0,conductometry,"InChI=1S/C34H74N2.2BrH/c1-7-9-11-13-15-17-19-21-23-27-31-35(3,4)33-29-25-26-30-34-36(5,6)32-28-24-22-20-18-16-14-12-10-8-2;;/h7-34H2,1-6H3;2*1H/q+2;;/p-2",670.7880000000006,0.0012,2.9208187539523753
14-6-14,10.1016/j.crci.2019.04.002,10.1515/tsd-1985-220105,CCCCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCCCCCCCCCC.[Br-].[Br-],20.0,conductometry,"InChI=1S/C38H82N2.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-31-35-39(3,4)37-33-29-30-34-38-40(5,6)36-32-28-26-24-22-20-18-16-14-12-10-8-2;;/h7-38H2,1-6H3;2*1H/q+2;;/p-2",726.8960000000004,0.00015,3.8239087409443187
16-6-16,10.1016/j.crci.2019.04.002,10.1515/tsd-1985-220105,CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-],20.0,conductometry,"InChI=1S/C42H90N2.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-29-31-35-39-43(3,4)41-37-33-34-38-42-44(5,6)40-36-32-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h7-42H2,1-6H3;2*1H/q+2;;/p-2",783.0040000000001,4.8e-05,4.318758762624412
18-6-18,10.1016/j.crci.2019.04.002,10.1515/tsd-1985-220105,CCCCCCCCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCCCCCCCCCCCCCC.[Br-].[Br-],20.0,conductometry,"InChI=1S/C46H98N2.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-29-31-33-35-39-43-47(3,4)45-41-37-38-42-46-48(5,6)44-40-36-34-32-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h7-46H2,1-6H3;2*1H/q+2;;/p-2",839.1119999999997,,
8-8-8,10.1016/j.crci.2019.04.002,10.1006/jcis.2001.7921,CCCCCCCC[N+](C)(C)CCCCCCCC[N+](C)(C)CCCCCCCC.[Br-].[Br-],25.0,conductometry,"InChI=1S/C28H62N2.2BrH/c1-7-9-11-13-17-21-25-29(3,4)27-23-19-15-16-20-24-28-30(5,6)26-22-18-14-12-10-8-2;;/h7-28H2,1-6H3;2*1H/q+2;;/p-2",586.6260000000003,0.05,1.3010299956639813
10-8-10,10.1016/j.crci.2019.04.002,10.1006/jcis.2001.7921,CCCCCCCCCC[N+](C)(C)CCCCCCCC[N+](C)(C)CCCCCCCCCC.[Br-].[Br-],25.0,conductometry,"InChI=1S/C32H70N2.2BrH/c1-7-9-11-13-15-17-21-25-29-33(3,4)31-27-23-19-20-24-28-32-34(5,6)30-26-22-18-16-14-12-10-8-2;;/h7-32H2,1-6H3;2*1H/q+2;;/p-2",642.7340000000005,0.0058,2.2365720064370627
12-8-12,10.1016/j.crci.2019.04.002,10.1006/jcis.2001.7921,CCCCCCCCCCCC[N+](C)(C)CCCCCCCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],25.0,conductometry,"InChI=1S/C36H78N2.2BrH/c1-7-9-11-13-15-17-19-21-25-29-33-37(3,4)35-31-27-23-24-28-32-36-38(5,6)34-30-26-22-20-18-16-14-12-10-8-2;;/h7-36H2,1-6H3;2*1H/q+2;;/p-2",698.8420000000006,0.0008,3.0969100130080562
14-8-14,10.1016/j.crci.2019.04.002,10.1006/jcis.2001.7921,CCCCCCCCCCCCCC[N+](C)(C)CCCCCCCC[N+](C)(C)CCCCCCCCCCCCCC.[Br-].[Br-],25.0,conductometry,"InChI=1S/C40H86N2.2BrH/c1-7-9-11-13-15-17-19-21-23-25-29-33-37-41(3,4)39-35-31-27-28-32-36-40-42(5,6)38-34-30-26-24-22-20-18-16-14-12-10-8-2;;/h7-40H2,1-6H3;2*1H/q+2;;/p-2",754.9500000000003,1.7999999999999997e-05,4.744727494896694
16-8-16,10.1016/j.crci.2019.04.002,10.1006/jcis.2001.7921,CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-],25.0,conductometry,"InChI=1S/C44H94N2.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-29-33-37-41-45(3,4)43-39-35-31-32-36-40-44-46(5,6)42-38-34-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h7-44H2,1-6H3;2*1H/q+2;;/p-2",811.058,3.8e-05,4.42021640338319
18-8-18,10.1016/j.crci.2019.04.002,10.1006/jcis.2001.7921,CCCCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCC[N+](C)(C)CCCCCCCCCCCCCCCCCC.[Br-].[Br-],25.0,conductometry,"InChI=1S/C48H102N2.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-29-31-33-37-41-45-49(3,4)47-43-39-35-36-40-44-48-50(5,6)46-42-38-34-32-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h7-48H2,1-6H3;2*1H/q+2;;/p-2",867.1659999999996,1.15e-05,4.939302159646388
