identifier,Temp_Celsius,ref,SMILES,pCMC,Molecular_Weight,InChI,CMC,source_doi,reference_doi
"1-O-pentyl-D,L-xylitol",25,53,CCCCCOC[C@@H](O)[C@H](O)[C@@H](O)CO.CCCCCOC[C@H](O)[C@@H](O)[C@H](O)CO,1.4202164033831899,444.56200000000024,"InChI=1S/2C10H22O5/c2*1-2-3-4-5-15-7-9(13)10(14)8(12)6-11/h2*8-14H,2-7H2,1H3/t2*8-,9+,10+/m10/s1",0.038,10.1021/acs.iecr.6b02890,10.1016/S0378-5173(99)00078-2
"1-O-hexyl-D,L-xylitol",25,53,CCCCCCOC[C@@H](O)[C@H](O)[C@@H](O)CO.CCCCCCOC[C@H](O)[C@@H](O)[C@H](O)CO,2.0268721464003012,472.6160000000004,"InChI=1S/2C11H24O5/c2*1-2-3-4-5-6-16-8-10(14)11(15)9(13)7-12/h2*9-15H,2-8H2,1H3/t2*9-,10+,11+/m10/s1",0.0094,10.1021/acs.iecr.6b02890,10.1016/S0378-5173(99)00078-2
"1-O-heptyl-D,L-xylitol",25,53,CCCCCCCOC[C@@H](O)[C@H](O)[C@@H](O)CO.CCCCCCCOC[C@H](O)[C@@H](O)[C@H](O)CO,2.036212172654445,500.6700000000004,"InChI=1S/2C12H26O5/c2*1-2-3-4-5-6-7-17-9-11(15)12(16)10(14)8-13/h2*10-16H,2-9H2,1H3/t2*10-,11+,12+/m10/s1",0.0092,10.1021/acs.iecr.6b02890,10.1016/S0378-5173(99)00078-2
"1-O-octyl-D,L-xylitol",25,53,CCCCCCCCOC[C@@H](O)[C@H](O)[C@@H](O)CO.CCCCCCCCOC[C@H](O)[C@@H](O)[C@H](O)CO,2.1739251972991736,528.7240000000005,"InChI=1S/2C13H28O5/c2*1-2-3-4-5-6-7-8-18-10-12(16)13(17)11(15)9-14/h2*11-17H,2-10H2,1H3/t2*11-,12+,13+/m10/s1",0.0067,10.1021/acs.iecr.6b02890,10.1016/S0378-5173(99)00078-2
"1-O-nonyl-D,L-xylitol",25,53,CCCCCCCCCOC[C@@H](O)[C@H](O)[C@@H](O)CO.CCCCCCCCCOC[C@H](O)[C@@H](O)[C@H](O)CO,2.6777807052660805,556.7780000000006,"InChI=1S/2C14H30O5/c2*1-2-3-4-5-6-7-8-9-19-11-13(17)14(18)12(16)10-15/h2*12-18H,2-11H2,1H3/t2*12-,13+,14+/m10/s1",0.0021000000000000003,10.1021/acs.iecr.6b02890,10.1016/S0378-5173(99)00078-2
"1-O-pentanoyl-D,L-xylitol",25,53,CCCCC(=O)OC[C@@H](O)[C@H](O)[C@@H](O)CO.CCCCC(=O)OC[C@H](O)[C@@H](O)[C@H](O)CO,0.9208187539523752,472.5280000000003,"InChI=1S/2C10H20O6/c2*1-2-3-4-9(14)16-6-8(13)10(15)7(12)5-11/h2*7-8,10-13,15H,2-6H2,1H3/t2*7-,8+,10+/m10/s1",0.12,10.1021/acs.iecr.6b02890,10.1016/S0378-5173(99)00078-2
"1-O-hexanoyl-D,L-xylitol",25,53,CCCCCC(=O)OC[C@@H](O)[C@H](O)[C@@H](O)CO.CCCCCC(=O)OC[C@H](O)[C@@H](O)[C@H](O)CO,1.2365720064370627,500.5820000000004,"InChI=1S/2C11H22O6/c2*1-2-3-4-5-10(15)17-7-9(14)11(16)8(13)6-12/h2*8-9,11-14,16H,2-7H2,1H3/t2*8-,9+,11+/m10/s1",0.058,10.1021/acs.iecr.6b02890,10.1016/S0378-5173(99)00078-2
"1-O-heptanoyl-D,L-xylitol",25,53,CCCCCCC(=O)OC[C@@H](O)[C@H](O)[C@@H](O)CO.CCCCCCC(=O)OC[C@H](O)[C@@H](O)[C@H](O)CO,2.0,528.6360000000005,"InChI=1S/2C12H24O6/c2*1-2-3-4-5-6-11(16)18-8-10(15)12(17)9(14)7-13/h2*9-10,12-15,17H,2-8H2,1H3/t2*9-,10+,12+/m10/s1",0.01,10.1021/acs.iecr.6b02890,10.1016/S0378-5173(99)00078-2
"1-O-octanoyl-D,L-xylitol",25,53,CCCCCCCC(=O)OC[C@@H](O)[C@H](O)[C@@H](O)CO.CCCCCCCC(=O)OC[C@H](O)[C@@H](O)[C@H](O)CO,1.744727494896694,556.6900000000006,"InChI=1S/2C13H26O6/c2*1-2-3-4-5-6-7-12(17)19-9-11(16)13(18)10(15)8-14/h2*10-11,13-16,18H,2-9H2,1H3/t2*10-,11+,13+/m10/s1",0.018,10.1021/acs.iecr.6b02890,10.1016/S0378-5173(99)00078-2
"1-O-nonanoyl-D,L-xylitol",25,53,CCCCCCCCC(=O)OC[C@@H](O)[C@H](O)[C@@H](O)CO.CCCCCCCCC(=O)OC[C@H](O)[C@@H](O)[C@H](O)CO,2.3565473235138126,584.7440000000007,"InChI=1S/2C14H28O6/c2*1-2-3-4-5-6-7-8-13(18)20-10-12(17)14(19)11(16)9-15/h2*11-12,14-17,19H,2-10H2,1H3/t2*11-,12+,14+/m10/s1",0.0044,10.1021/acs.iecr.6b02890,10.1016/S0378-5173(99)00078-2
"1-O-decanoyl-D,L-xylitol",25,53,CCCCCCCCCC(=O)OC[C@@H](O)[C@H](O)[C@@H](O)CO.CCCCCCCCCC(=O)OC[C@H](O)[C@@H](O)[C@H](O)CO,2.744727494896694,612.7980000000007,"InChI=1S/2C15H30O6/c2*1-2-3-4-5-6-7-8-9-14(19)21-11-13(18)15(20)12(17)10-16/h2*12-13,15-18,20H,2-11H2,1H3/t2*12-,13+,15+/m10/s1",0.0018,10.1021/acs.iecr.6b02890,10.1016/S0378-5173(99)00078-2
"S-butyl-1-thio-D,L-xylitol",25,53,CCCCSC[C@@H](O)[C@H](O)[C@@H](O)CO.CCCCSC[C@H](O)[C@@H](O)[C@H](O)CO,0.744727494896694,448.6440000000002,"InChI=1S/2C9H20O4S/c2*1-2-3-4-14-6-8(12)9(13)7(11)5-10/h2*7-13H,2-6H2,1H3/t2*7-,8+,9+/m10/s1",0.18,10.1021/acs.iecr.6b02890,10.1016/S0378-5173(99)00078-2
"S-pentyl-1-thio-D,L-xylitol",25,53,CCCCCSC[C@@H](O)[C@H](O)[C@@H](O)CO.CCCCCSC[C@H](O)[C@@H](O)[C@H](O)CO,1.337242168318426,476.6980000000003,"InChI=1S/2C10H22O4S/c2*1-2-3-4-5-15-7-9(13)10(14)8(12)6-11/h2*8-14H,2-7H2,1H3/t2*8-,9+,10+/m10/s1",0.046,10.1021/acs.iecr.6b02890,10.1016/S0378-5173(99)00078-2
S-hexyl-1-thio-L-xylitol,20,91,CCCCCCSC[C@@H](O)[C@H](O)[C@@H](O)CO,1.9208187539523751,252.37599999999992,"InChI=1S/C11H24O4S/c1-2-3-4-5-6-16-8-10(14)11(15)9(13)7-12/h9-15H,2-8H2,1H3/t9-,10+,11+/m0/s1",0.012,10.1021/acs.iecr.6b02890,10.1016/j.jcis.2004.01.020
S-octyl-1-thio-L-xylitol,20,91,CCCCCCCCSC[C@@H](O)[C@H](O)[C@@H](O)CO,2.9208187539523753,280.42999999999995,"InChI=1S/C13H28O4S/c1-2-3-4-5-6-7-8-18-10-12(16)13(17)11(15)9-14/h11-17H,2-10H2,1H3/t11-,12+,13+/m0/s1",0.0012,10.1021/acs.iecr.6b02890,10.1016/j.jcis.2004.01.020
S-decyl-1-thio-L-xylitol,20,91,CCCCCCCCCCSC[C@@H](O)[C@H](O)[C@@H](O)CO,3.3979400086720375,308.48400000000004,"InChI=1S/C15H32O4S/c1-2-3-4-5-6-7-8-9-10-20-12-14(18)15(19)13(17)11-16/h13-19H,2-12H2,1H3/t13-,14+,15+/m0/s1",0.0004,10.1021/acs.iecr.6b02890,10.1016/j.jcis.2004.01.020
S-hexyl-1-thio-D-lyxitol,20,91,CCCCCCSC[C@@H](O)[C@@H](O)[C@H](O)CO,1.744727494896694,252.37599999999992,"InChI=1S/C11H24O4S/c1-2-3-4-5-6-16-8-10(14)11(15)9(13)7-12/h9-15H,2-8H2,1H3/t9-,10-,11+/m1/s1",0.018,10.1021/acs.iecr.6b02890,10.1016/j.jcis.2004.01.020
S-octyl-1-thio-D-lyxitol,20,91,CCCCCCCCSC[C@@H](O)[C@@H](O)[C@H](O)CO,2.744727494896694,280.42999999999995,"InChI=1S/C13H28O4S/c1-2-3-4-5-6-7-8-18-10-12(16)13(17)11(15)9-14/h11-17H,2-10H2,1H3/t11-,12-,13+/m1/s1",0.0018,10.1021/acs.iecr.6b02890,10.1016/j.jcis.2004.01.020
S-hexyl-1-thio-L-ribitol,20,91,CCCCCCSC[C@@H](O)[C@@H](O)[C@@H](O)CO,1.9913998282380825,252.37599999999992,"InChI=1S/C11H24O4S/c1-2-3-4-5-6-16-8-10(14)11(15)9(13)7-12/h9-15H,2-8H2,1H3/t9-,10+,11-/m0/s1",0.010199999999999999,10.1021/acs.iecr.6b02890,10.1016/j.jcis.2004.01.020
S-octyl-1-thio-L-ribitol,20,91,CCCCCCCCSC[C@@H](O)[C@@H](O)[C@@H](O)CO,3.42021640338319,280.42999999999995,"InChI=1S/C13H28O4S/c1-2-3-4-5-6-7-8-18-10-12(16)13(17)11(15)9-14/h11-17H,2-10H2,1H3/t11-,12+,13-/m0/s1",0.00038,10.1021/acs.iecr.6b02890,10.1016/j.jcis.2004.01.020
S-hexyl-5-thio-D-arabinonolactone,20,91,CCCCCCSC[C@H]1OC(=O)[C@@H](O)[C@@H]1O,2.1739251972991736,248.3439999999999,"InChI=1S/C11H20O4S/c1-2-3-4-5-6-16-7-8-9(12)10(13)11(14)15-8/h8-10,12-13H,2-7H2,1H3/t8-,9-,10+/m1/s1",0.0067,10.1021/acs.iecr.6b02890,10.1016/j.jcis.2004.01.020
S-octyl-5-thio-D-arabinonolactone,20,91,CCCCCCCCSC[C@H]1OC(=O)[C@@H](O)[C@@H]1O,3.318758762624413,276.39799999999997,"InChI=1S/C13H24O4S/c1-2-3-4-5-6-7-8-18-9-10-11(14)12(15)13(16)17-10/h10-12,14-15H,2-9H2,1H3/t10-,11-,12+/m1/s1",0.00047999999999999996,10.1021/acs.iecr.6b02890,10.1016/j.jcis.2004.01.020
S-decyl-5-thio-D-arabinonolactone,20,91,CCCCCCCCCCSC[C@H]1OC(=O)[C@@H](O)[C@@H]1O,4.481486060122113,304.45200000000006,"InChI=1S/C15H28O4S/c1-2-3-4-5-6-7-8-9-10-20-11-12-13(16)14(17)15(18)19-12/h12-14,16-17H,2-11H2,1H3/t12-,13-,14+/m1/s1",3.3e-05,10.1021/acs.iecr.6b02890,10.1016/j.jcis.2004.01.020
S-hexyl-5-thio-D-xylonolactone,20,91,CCCCCCSC[C@H]1OC(=O)[C@H](O)[C@H]1O,2.3010299956639813,248.3439999999999,"InChI=1S/C11H20O4S/c1-2-3-4-5-6-16-7-8-9(12)10(13)11(14)15-8/h8-10,12-13H,2-7H2,1H3/t8-,9+,10-/m1/s1",0.005,10.1021/acs.iecr.6b02890,10.1016/j.jcis.2004.01.020
S-octyl-5-thio-D-xylonolactone,20,91,CCCCCCCCSC[C@H]1OC(=O)[C@H](O)[C@H]1O,3.275724130399211,276.39799999999997,"InChI=1S/C13H24O4S/c1-2-3-4-5-6-7-8-18-9-10-11(14)12(15)13(16)17-10/h10-12,14-15H,2-9H2,1H3/t10-,11+,12-/m1/s1",0.00053,10.1021/acs.iecr.6b02890,10.1016/j.jcis.2004.01.020
S-decyl-5-thio-D-xylonolactone,20,91,CCCCCCCCCCSC[C@H]1OC(=O)[C@H](O)[C@H]1O,4.638272163982407,304.45200000000006,"InChI=1S/C15H28O4S/c1-2-3-4-5-6-7-8-9-10-20-11-12-13(16)14(17)15(18)19-12/h12-14,16-17H,2-11H2,1H3/t12-,13+,14-/m1/s1",2.3e-05,10.1021/acs.iecr.6b02890,10.1016/j.jcis.2004.01.020
1-butylhexyl-β-D-glucoside,25,54,CCCCCC(CCCC)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,1.8239087409443189,320.426,"InChI=1S/C16H32O6/c1-3-5-7-9-11(8-6-4-2)21-16-15(20)14(19)13(18)12(10-17)22-16/h11-20H,3-10H2,1-2H3/t11?,12-,13-,14+,15-,16-/m1/s1",0.015,10.1021/acs.iecr.6b02890,10.5650/jos1956.40.709
1-propylheptyl-β-D-glucoside,25,54,CCCCCCC(CCC)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,1.9208187539523751,320.426,"InChI=1S/C16H32O6/c1-3-5-6-7-9-11(8-4-2)21-16-15(20)14(19)13(18)12(10-17)22-16/h11-20H,3-10H2,1-2H3/t11?,12-,13-,14+,15-,16-/m1/s1",0.012,10.1021/acs.iecr.6b02890,10.5650/jos1956.40.709
1-ethyloctyl-β-D-glucoside,25,54,CCCCCCC(CC)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,2.070581074285707,306.399,"InChI=1S/C15H30O6/c1-3-5-6-7-8-10(4-2)20-15-14(19)13(18)12(17)11(9-16)21-15/h10-19H,3-9H2,1-2H3/t10?,11-,12-,13+,14-,15-/m1/s1",0.0085,10.1021/acs.iecr.6b02890,10.5650/jos1956.40.709
1-methylnonyl-β-D-glucoside,25,54,CCCCCCCCC(C)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,2.3467874862246565,320.426,"InChI=1S/C16H32O6/c1-3-4-5-6-7-8-9-11(2)21-16-15(20)14(19)13(18)12(10-17)22-16/h11-20H,3-10H2,1-2H3/t11?,12-,13-,14+,15-,16-/m1/s1",0.0045,10.1021/acs.iecr.6b02890,10.5650/jos1956.40.709
octanoyl-β-D-galactosylamine,25,92,CCCCCCCC(=O)N[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,1.3467874862246563,305.3710000000001,"InChI=1S/C14H27NO6/c1-2-3-4-5-6-7-10(17)15-14-13(20)12(19)11(18)9(8-16)21-14/h9,11-14,16,18-20H,2-8H2,1H3,(H,15,17)/t9-,11+,12+,13-,14-/m1/s1",0.045,10.1021/acs.iecr.6b02890,10.1080/07328309408011677
octanoyl-β-D-glucosylamine,25,92,CCCCCCCC(=O)N[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,1.154901959985743,305.37100000000004,"InChI=1S/C14H27NO6/c1-2-3-4-5-6-7-10(17)15-14-13(20)12(19)11(18)9(8-16)21-14/h9,11-14,16,18-20H,2-8H2,1H3,(H,15,17)/t9-,11-,12+,13-,14-/m1/s1",0.07,10.1021/acs.iecr.6b02890,10.1080/07328309408011677
"3,7-dimethyloctyl-β-D-glucoside",25,93,CC(C)CCCC(C)CCO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,2.3979400086720375,320.42600000000004,"InChI=1S/C16H32O6/c1-10(2)5-4-6-11(3)7-8-21-16-15(20)14(19)13(18)12(9-17)22-16/h10-20H,4-9H2,1-3H3/t11?,12-,13-,14+,15-,16-/m1/s1",0.004,10.1021/acs.iecr.6b02890,10.1016/j.chemphyslip.2005.01.001
"3,7-dimethyloctyl-β-D-maltoside",25,93,CC(C)CCCC(C)CCOC1OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,2.275724130399211,482.5670000000001,"InChI=1S/C22H42O11/c1-11(2)5-4-6-12(3)7-8-30-21-19(29)17(27)20(14(10-24)32-21)33-22-18(28)16(26)15(25)13(9-23)31-22/h11-29H,4-10H2,1-3H3",0.0053,10.1021/acs.iecr.6b02890,10.1016/j.chemphyslip.2005.01.001
"3,7-dimethyloctyl-β-D-maltotrioside",25,93,CC(C)CCCC(C)CCO[C@H]1O[C@H](CO)[C@@H](O[C@H]2O[C@H](CO)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,2.3010299956639813,644.7080000000004,"InChI=1S/C28H52O16/c1-12(2)5-4-6-13(3)7-8-39-26-22(37)19(34)24(15(10-30)41-26)44-28-23(38)20(35)25(16(11-31)42-28)43-27-21(36)18(33)17(32)14(9-29)40-27/h12-38H,4-11H2,1-3H3/t13?,14-,15-,16-,17-,18+,19-,20-,21-,22-,23-,24-,25-,26+,27-,28-/m1/s1",0.005,10.1021/acs.iecr.6b02890,10.1016/j.chemphyslip.2005.01.001
2-amino-2-deoxy-octyl-β-D-glucoside,25,94,CCCCCCCCO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1N,1.6382721639824072,291.3880000000001,"InChI=1S/C14H29NO5/c1-2-3-4-5-6-7-8-19-14-11(15)13(18)12(17)10(9-16)20-14/h10-14,16-18H,2-9,15H2,1H3/t10-,11-,12-,13-,14-/m1/s1",0.023,10.1021/acs.iecr.6b02890,10.1021/la950485i
2-amino-2-deoxy-nonyl-β-D-glucoside,25,94,CCCCCCCCCO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1N,2.154901959985743,305.4150000000001,"InChI=1S/C15H31NO5/c1-2-3-4-5-6-7-8-9-20-15-12(16)14(19)13(18)11(10-17)21-15/h11-15,17-19H,2-10,16H2,1H3/t11-,12-,13-,14-,15-/m1/s1",0.007,10.1021/acs.iecr.6b02890,10.1021/la950485i
N-decyl-N-methyl gluconamide,25,95,CCCCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,2.886056647693163,349.4680000000001,"InChI=1S/C17H35NO6/c1-3-4-5-6-7-8-9-10-11-18(2)17(24)16(23)15(22)14(21)13(20)12-19/h13-16,19-23H,3-12H2,1-2H3/t13-,14-,15+,16-/m1/s1",0.0013,10.1021/acs.iecr.6b02890,10.1006/jcis.2001.7704
N-dodecyl-N-methyl gluconamide,20,95,CCCCCCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,3.853871964321762,377.52200000000005,"InChI=1S/C19H39NO6/c1-3-4-5-6-7-8-9-10-11-12-13-20(2)19(26)18(25)17(24)16(23)15(22)14-21/h15-18,21-25H,3-14H2,1-2H3/t15-,16-,17+,18-/m1/s1",0.00014000000000000001,10.1021/acs.iecr.6b02890,10.1006/jcis.2001.7704
N-tetradecyl-N-methyl gluconamide,20,95,CCCCCCCCCCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,4.619788758288394,433.63000000000005,"InChI=1S/C23H47NO6/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-24(2)23(30)22(29)21(28)20(27)19(26)18-25/h19-22,25-29H,3-18H2,1-2H3/t19-,20-,21+,22-/m1/s1",2.4e-05,10.1021/acs.iecr.6b02890,10.1006/jcis.2001.7704
N-oleyl-N-methyl gluconamide,20,95,CCCCCCCC/C=C\CCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,4.494850021680094,459.6680000000001,"InChI=1S/C25H49NO6/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-26(2)25(32)24(31)23(30)22(29)21(28)20-27/h10-11,21-24,27-31H,3-9,12-20H2,1-2H3/b11-10-/t21-,22-,23+,24-/m1/s1",3.2e-05,10.1021/acs.iecr.6b02890,10.1006/jcis.2001.7704
N-decyl-N-methyl lactobionamide,20,95,CCCCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](O)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,2.638272163982407,497.58200000000016,"InChI=1S/C22H43NO11/c1-3-4-5-6-7-8-9-10-11-23(2)20(31)16(28)15(27)19(13(25)12-24)33-22-18(30)14(26)17(29)21(32)34-22/h13-19,21-22,24-30,32H,3-12H2,1-2H3/t13-,14+,15-,16-,17-,18-,19-,21+,22-/m1/s1",0.0023,10.1021/acs.iecr.6b02890,10.1006/jcis.2001.7704
N-dodecyl-N-methyl lactobionamide,20,95,CCCCCCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](O)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,3.6020599913279625,525.6360000000002,"InChI=1S/C24H47NO11/c1-3-4-5-6-7-8-9-10-11-12-13-25(2)22(33)18(30)17(29)21(15(27)14-26)35-24-20(32)16(28)19(31)23(34)36-24/h15-21,23-24,26-32,34H,3-14H2,1-2H3/t15-,16+,17-,18-,19-,20-,21-,23+,24-/m1/s1",0.00025,10.1021/acs.iecr.6b02890,10.1006/jcis.2001.7704
N-tetradecyl-N-methyl lactobionamide,20,95,CCCCCCCCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](C)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,4.443697499232713,551.7180000000001,"InChI=1S/C27H53NO10/c1-4-5-6-7-8-9-10-11-12-13-14-15-16-28(3)26(36)23(34)22(33)25(19(30)17-29)38-27-24(35)21(32)20(31)18(2)37-27/h18-25,27,29-35H,4-17H2,1-3H3/t18-,19-,20+,21+,22-,23-,24-,25-,27+/m1/s1",3.5999999999999994e-05,10.1021/acs.iecr.6b02890,10.1006/jcis.2001.7704
N-hexadecyl-N-methyl lactobionamide,20,95,CCCCCCCCCCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](O)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,5.031517051446065,581.7440000000003,"InChI=1S/C28H55NO11/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-29(2)26(37)22(34)21(33)25(19(31)18-30)39-28-24(36)20(32)23(35)27(38)40-28/h19-25,27-28,30-36,38H,3-18H2,1-2H3/t19-,20+,21-,22-,23-,24-,25-,27+,28-/m1/s1",9.299999999999999e-06,10.1021/acs.iecr.6b02890,10.1006/jcis.2001.7704
N-octadecyl-N-methyl lactobionamide,20,95,CCCCCCCCCCCCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](O)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,5.481486060122113,609.7980000000002,"InChI=1S/C30H59NO11/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-31(2)28(39)24(36)23(35)27(21(33)20-32)41-30-26(38)22(34)25(37)29(40)42-30/h21-27,29-30,32-38,40H,3-20H2,1-2H3/t21-,22+,23-,24-,25-,26-,27-,29+,30-/m1/s1",3.3e-06,10.1021/acs.iecr.6b02890,10.1006/jcis.2001.7704
N-oleyl-N-methyl lactobionamide,20,95,CCCCCCCC/C=C\CCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](O)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,4.267606240177032,607.7820000000003,"InChI=1S/C30H57NO11/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-31(2)28(39)24(36)23(35)27(21(33)20-32)41-30-26(38)22(34)25(37)29(40)42-30/h10-11,21-27,29-30,32-38,40H,3-9,12-20H2,1-2H3/b11-10-/t21-,22+,23-,24-,25-,26-,27-,29+,30-/m1/s1",5.4e-05,10.1021/acs.iecr.6b02890,10.1006/jcis.2001.7704
dodecanoyl-N-methylglyceramine,25,96,CCCCCCCCCC(=O)N(C)CC(O)CO,3.638272163982407,259.38999999999993,"InChI=1S/C14H29NO3/c1-3-4-5-6-7-8-9-10-14(18)15(2)11-13(17)12-16/h13,16-17H,3-12H2,1-2H3",0.00023,10.1021/acs.iecr.6b02890,10.1007/s11743-999-0089-0
