Comp. ID,SMILES,pCMC experiment,method
88,CCCCCCCCCCCCCCC(=O)OCC[n+]1ccc(cc1)CCCc1cc[n+](cc1)CCOC(=O)CCCCCCCCCCCCCC.[Cl-].[Cl-],3.757,
89,CCCCCCCCCCCCCCOC(=O)C[n+]1ccc(cc1)CCCc1cc[n+](cc1)CC(=O)OCCCCCCCCCCCCCC.[Br-].[Br-],3.917,
90,CCCCCCCCCCCCCCOC(=O)C[n+]1ccc(cc1)CCCc1cc[n+](cc1)CC(=O)OCCCCCCCCCCCCCC.[Cl-].[Cl-],3.842,
91,CCCCCCCCCCCCCCOc1ccc[n+](c1)CCCC[n+]1cccc(c1)OCCCCCCCCCCCCCC.[Br-].[Br-],4.222,
92,CCCCCCCCCCCCCCOc1ccc[n+](c1)CCC[n+]1cccc(c1)OCCCCCCCCCCCCCC.[Br-].[Br-],4.284,
93,CCCCCCCCCCCCCCOc1ccc[n+](c1)CC(C[n+]1cccc(c1)OCCCCCCCCCCCCCC)O.[Br-].[Br-],4.569,
94,CCCCCCCCCCCCCCC([n+]1ccccc1)CSCCSCC([n+]1ccccc1)CCCCCCCCCCCCCC.[Br-].[Br-],4.523,
95,CCCCCCCCCCCCCCCCC(=O)OCC[n+]1ccc(cc1)CCCc1cc[n+](cc1)CCOC(=O)CCCCCCCCCCCCCCCC.[Br-].[Br-],4.444,
96,CCCCCCCCCCCCCCCCC(=O)OCC[n+]1ccc(cc1)CCCc1cc[n+](cc1)CCOC(=O)CCCCCCCCCCCCCCCC.[Cl-].[Cl-],4.260,
97,FC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(CC[n+]1ccccc1CCCCCCCCCCCCc1cccc[n+]1CCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)F.[Cl-].[Cl-],2.959,
98,FC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(CC[n+]1ccccc1CCCCCCCCCCCCc1cccc[n+]1CCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)F.[O-]S(=O)(=O)C.[O-]S(=O)(=O)C,2.979,
99,FC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(CC[n+]1ccccc1CCCc1cccc[n+]1CCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)F.[Cl-].[Cl-],2.719,
100,FC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(CC[n+]1ccccc1CCCCc1cccc[n+]1CCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)F.[Cl-].[Cl-],2.730,
101,FC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(CC[n+]1ccccc1CCCCCCCCc1cccc[n+]1CCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)F.[Cl-].[Cl-],2.889,
102,FC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(CC[n+]1ccccc1CCCCCCCCc1cccc[n+]1CCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)F.[O-]S(=O)(=O)C.[O-]S(=O)(=O)C,2.854,
103,CCCCCCCCCC[N+]1(CCCC[N+]2(CCCCCCCCCC)CCCC2)CCCC1.[Br-].[Br-],2.240,
104,CCCCCCCCCC[N+]1(CCCC1)CC#CC[N+]1(CCCCCCCCCC)CCCC1.[Br-].[Br-],2.275,
105,CCCCCCCCCCCC[N+]1(CCCCCCCCCCCCCC[N+]2(CCCCCCCCCCCC)CCCC2)CCCC1.[Br-].[Br-],4.180,
106,CCCCCCCCCCCC[N+]1(CCCC[N+]2(CCCCCCCCCCCC)CCCC2)CCCC1.[Br-].[Br-],3.081,
107,CCCCCCCCCCCC[N+]1(CCCC1)CC#CC[N+]1(CCCCCCCCCCCC)CCCC1.[Br-].[Br-],3.041,
108,CCCCCCCCCCCC[N+]1(CCCCCC[N+]2(CCCCCCCCCCCC)CCCC2)CCCC1.[Br-].[Br-],3.108,
109,CCCCCCCCCCCCCC[N+]1(CCCC[N+]2(CCCCCCCCCCCCCC)CCCC2)CCCC1.[Br-].[Br-],3.886,
110,CCCCCCCCCCCCCC[N+]1(CCCC1)CC#CC[N+]1(CCCCCCCCCCCCCC)CCCC1.[Br-].[Br-],3.886,
111,CCCCCCCCCCCCCCCC[N+]1(CCCC1)CC#CC[N+]1(CCCCCCCCCCCCCCCC)CCCC1.[Br-].[Br-],4.357,
112,CCCCCCCC[N+](CCOCC[N+](CCCCCCCC)(C)C)(C)C.[Br-].[Br-],1.676,
113,CCCCCCCCCC[N+](CCOCC[N+](CCCCCCCCCC)(C)C)(C)C.[Br-].[Br-],2.181,
114,CCCCCCCCCCCC[N+](CCOCC[N+](CCCCCCCCCCCC)(C)C)(C)C.[Br-].[Br-],2.980,
115,CCCCCCCCCCCCCC[N+](CCOCC[N+](CCCCCCCCCCCCCC)(C)C)(C)C.[Br-].[Br-],3.697,
116,CCCCCCCCCCCCCCCCCC[N+](CCOCC[N+](CCCCCCCCCCCCCCCCCC)(C)C)(C)C.[Br-].[Br-],4.481,
117,CCCCCCCCCCCCCCCC[N+](CCOCC[N+](CCCCCCCCCCCCCCCC)(C)C)(C)C.[Br-].[Br-],4.495,
118,Cn1cc[n+](c1)COCCOC[n+]1ccn(c1)C.[Cl-].[Cl-],2.150,
119,Cn1cc[n+](c1)COCCCOC[n+]1ccn(c1)C.[Cl-].[Cl-],2.180,
120,CCn1cc[n+](c1)COCCOC[n+]1ccn(c1)CC.[Cl-].[Cl-],2.230,
121,Cn1cc[n+](c1)COCCCCCOC[n+]1ccn(c1)C.[Cl-].[Cl-],2.250,
122,CCn1cc[n+](c1)COCCCOC[n+]1ccn(c1)CC.[Cl-].[Cl-],2.260,
123,CCn1cc[n+](c1)COCCCCOC[n+]1ccn(c1)CC.[Cl-].[Cl-],2.300,
124,CCn1cc[n+](c1)COCCCCCOC[n+]1ccn(c1)CC.[Cl-].[Cl-],2.330,
125,CCn1cc[n+](c1)COCCCCCCOC[n+]1ccn(c1)CC.[Cl-].[Cl-],2.370,
126,CCCn1cc[n+](c1)COCCOC[n+]1ccn(c1)CCC.[Cl-].[Cl-],2.380,
127,CCCn1cc[n+](c1)COCCCCOC[n+]1ccn(c1)CCC.[Cl-].[Cl-],2.390,
128,CCCCn1cc[n+](c1)COCCOC[n+]1ccn(c1)CCCC.[Cl-].[Cl-],2.410,
129,CCCn1cc[n+](c1)COCCCCCOC[n+]1ccn(c1)CCC.[Cl-].[Cl-],2.410,
130,CCCCn1cc[n+](c1)COCCCOC[n+]1ccn(c1)CCCC.[Cl-].[Cl-],2.440,
131,CCCn1cc[n+](c1)COCCCCCCOC[n+]1ccn(c1)CCC.[Cl-].[Cl-],2.450,
132,CCCCn1cc[n+](c1)COCCCCCOC[n+]1ccn(c1)CCCC.[Cl-].[Cl-],2.490,
133,CCCCCn1cc[n+](c1)COCCOC[n+]1ccn(c1)CCCCC.[Cl-].[Cl-],2.490,
134,CCCCCn1cc[n+](c1)COCCCOC[n+]1ccn(c1)CCCCC.[Cl-].[Cl-],2.520,
135,CCCCCn1cc[n+](c1)COCCCCOC[n+]1ccn(c1)CCCCC.[Cl-].[Cl-],2.530,
136,CCCCn1cc[n+](c1)COCCCCCCOC[n+]1ccn(c1)CCCC.[Cl-].[Cl-],2.540,
137,CCCCCn1cc[n+](c1)COCCCCCCOC[n+]1ccn(c1)CCCCC.[Cl-].[Cl-],2.620,
138,CCCCCCn1cc[n+](c1)COCCCCOC[n+]1ccn(c1)CCCCCC.[Cl-].[Cl-],2.640,
139,CCCCCCCn1cc[n+](c1)COCCOC[n+]1ccn(c1)CCCCCCC.[Cl-].[Cl-],2.650,
140,CCCCCCn1cc[n+](c1)COCCCCCOC[n+]1ccn(c1)CCCCCC.[Cl-].[Cl-],2.670,
141,CCCCCCCn1cc[n+](c1)COCCCOC[n+]1ccn(c1)CCCCCCC.[Cl-].[Cl-],2.680,
142,CCCCCCCn1cc[n+](c1)COCCCCOC[n+]1ccn(c1)CCCCCCC.[Cl-].[Cl-],2.710,
143,CCCCCCn1cc[n+](c1)COCCCCCCOC[n+]1ccn(c1)CCCCCC.[Cl-].[Cl-],2.710,
144,CCCCCCCCn1cc[n+](c1)COCCOC[n+]1ccn(c1)CCCCCCCC.[Cl-].[Cl-],2.720,
145,CCCCCCCCn1cc[n+](c1)COCCCOC[n+]1ccn(c1)CCCCCCCC.[Cl-].[Cl-],2.750,
146,CCCCCCCn1cc[n+](c1)COCCCCCOC[n+]1ccn(c1)CCCCCCC.[Cl-].[Cl-],2.750,
