identifier,AW_ST_CMC,Temp_Celsius,source_doi,reference_doi,SMILES,Molecular_Weight,InChI
C16H33[(OC2H4)7OH],33.0,25.0,10.1081/DIS-200054572,,CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCO,550.8180000000004,"InChI=1S/C30H62O8/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-17-32-19-21-34-23-25-36-27-29-38-30-28-37-26-24-35-22-20-33-18-16-31/h31H,2-30H2,1H3"
C16H33[(OC2H4)9OH],35.8,25.0,10.1081/DIS-200054572,,CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,638.9240000000002,"InChI=1S/C34H70O10/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-17-36-19-21-38-23-25-40-27-29-42-31-33-44-34-32-43-30-28-41-26-24-39-22-20-37-18-16-35/h35H,2-34H2,1H3"
C16H33[(OC2H4)12OH],38.9,25.0,10.1081/DIS-200054572,,CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,771.0829999999999,"InChI=1S/C40H82O13/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-17-42-19-21-44-23-25-46-27-29-48-31-33-50-35-37-52-39-40-53-38-36-51-34-32-49-30-28-47-26-24-45-22-20-43-18-16-41/h41H,2-40H2,1H3"
p-t-C8H17C6H4[(OC2H4)7OH],30.0,25.0,10.1081/DIS-200054572,,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCO)cc1,514.7000000000005,"InChI=1S/C28H50O8/c1-27(2,3)24-28(4,5)25-6-8-26(9-7-25)36-23-22-35-21-20-34-19-18-33-17-16-32-15-14-31-13-12-30-11-10-29/h6-9,29H,10-24H2,1-5H3"
p-t-C8H17C6H4[(OC2H4)8OH],32.0,25.0,10.1081/DIS-200054572,,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCO)cc1,558.7530000000006,"InChI=1S/C30H54O9/c1-29(2,3)26-30(4,5)27-6-8-28(9-7-27)39-25-24-38-23-22-37-21-20-36-19-18-35-17-16-34-15-14-33-13-12-32-11-10-31/h6-9,31H,10-26H2,1-5H3"
p-t-C8H17C6H4[(OC2H4)9OH],33.5,25.0,10.1081/DIS-200054572,,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,602.8060000000005,"InChI=1S/C32H58O10/c1-31(2,3)28-32(4,5)29-6-8-30(9-7-29)42-27-26-41-25-24-40-23-22-39-21-20-38-19-18-37-17-16-36-15-14-35-13-12-34-11-10-33/h6-9,33H,10-28H2,1-5H3"
p-t-C8H17C6H4[(OC2H4)10OH],35.0,25.0,10.1081/DIS-200054572,,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,646.8590000000004,"InChI=1S/C34H62O11/c1-33(2,3)30-34(4,5)31-6-8-32(9-7-31)45-29-28-44-27-26-43-25-24-42-23-22-41-21-20-40-19-18-39-17-16-38-15-14-37-13-12-36-11-10-35/h6-9,35H,10-30H2,1-5H3"
C12H25[(OC2H4)3(OC3H6)6OH],33.5,25.0,10.1081/DIS-200054572,,CCCCCCCCCCCCOCCOCCOCCOCCCOCCCOCCCOCCCOCCCOCCCO,666.9780000000002,"InChI=1S/C36H74O10/c1-2-3-4-5-6-7-8-9-10-11-19-43-31-33-45-35-36-46-34-32-44-30-17-29-42-28-16-27-41-26-15-25-40-24-14-23-39-22-13-21-38-20-12-18-37/h37H,2-36H2,1H3"
C12H25[(OC2H4)4(OC3H6)5OH],32.2,25.0,10.1081/DIS-200054572,,CCCCCCCCCCCCOCCOCCOCCOCCOCCCOCCCOCCCOCCCOCCCO,652.9510000000002,"InChI=1S/C35H72O10/c1-2-3-4-5-6-7-8-9-10-11-18-41-28-30-43-32-34-45-35-33-44-31-29-42-27-16-26-40-25-15-24-39-23-14-22-38-21-13-20-37-19-12-17-36/h36H,2-35H2,1H3"
C12H25[(OC2H4)5(OC3H6)4OH],32.1,25.0,10.1081/DIS-200054572,,CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCCOCCCOCCCOCCCO,638.9240000000002,"InChI=1S/C34H70O10/c1-2-3-4-5-6-7-8-9-10-11-17-39-25-27-41-29-31-43-33-34-44-32-30-42-28-26-40-24-15-23-38-22-14-21-37-20-13-19-36-18-12-16-35/h35H,2-34H2,1H3"
