identifier,CMC,AW_ST_CMC,method,pC20,Γmax (μmol/m2),Area_min,Temp_Celsius,source_doi,reference_doi,SMILES,Gamma_max,pCMC,C20,Molecular_Weight,InChI
10-6-10,2.04e-05,,conductometry,,,,25,10.1016/j.molliq.2017.06.008,,CCCCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CCCCCC[N+](C)(C)CC(=O)Nc2ccc(CCCCCCCCCC)cc2)cc1.[Br-].[Br-],,4.690369832574101,,896.9789999999998,"InChI=1S/C46H78N4O3.2BrH/c1-7-9-11-13-15-17-19-23-27-41-28-30-42(31-29-41)47-45(51)39-49(3,4)36-24-20-21-25-37-50(5,6)40-46(52)48-43-32-34-44(35-33-43)53-38-26-22-18-16-14-12-10-8-2;;/h28-35H,7-27,36-40H2,1-6H3;2*1H"
12-2-12,3.44e-05,,conductometry,,,,25,10.1016/j.molliq.2017.06.008,,CCCCCCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CC[N+](C)(C)CC(=O)Nc2ccc(CCCCCCCCCCCC)cc2)cc1.[Br-].[Br-],,4.46344155742847,,896.9789999999996,"InChI=1S/C46H78N4O3.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-41-28-30-42(31-29-41)47-45(51)39-49(3,4)36-37-50(5,6)40-46(52)48-43-32-34-44(35-33-43)53-38-26-24-22-20-18-16-14-12-10-8-2;;/h28-35H,7-27,36-40H2,1-6H3;2*1H"
12-4-12,2.16e-05,,conductometry,,,,25,10.1016/j.molliq.2017.06.008,,CCCCCCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CCCC[N+](C)(C)CC(=O)Nc2ccc(CCCCCCCCCCCC)cc2)cc1.[Br-].[Br-],,4.665546248849069,,925.0329999999997,"InChI=1S/C48H82N4O3.2BrH/c1-7-9-11-13-15-17-19-21-23-25-29-43-30-32-44(33-31-43)49-47(53)41-51(3,4)38-26-27-39-52(5,6)42-48(54)50-45-34-36-46(37-35-45)55-40-28-24-22-20-18-16-14-12-10-8-2;;/h30-37H,7-29,38-42H2,1-6H3;2*1H"
12-6-12,8.29e-06,,conductometry,,,,25,10.1016/j.molliq.2017.06.008,,CCCCCCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CCCCCC[N+](C)(C)CC(=O)Nc2ccc(CCCCCCCCCCCC)cc2)cc1.[Br-].[Br-],,5.081445469449727,,953.0869999999996,"InChI=1S/C50H86N4O3.2BrH/c1-7-9-11-13-15-17-19-21-23-27-31-45-32-34-46(35-33-45)51-49(55)43-53(3,4)40-28-24-25-29-41-54(5,6)44-50(56)52-47-36-38-48(39-37-47)57-42-30-26-22-20-18-16-14-12-10-8-2;;/h32-39H,7-31,40-44H2,1-6H3;2*1H"
14-2-14,2.34e-05,,conductometry,,,,25,10.1016/j.molliq.2017.06.008,,CCCCCCCCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CC[N+](C)(C)CC(=O)Nc2ccc(CCCCCCCCCCCCCC)cc2)cc1.[Br-].[Br-],,4.6307841425898575,,953.0869999999994,"InChI=1S/C50H86N4O3.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-29-31-45-32-34-46(35-33-45)51-49(55)43-53(3,4)40-41-54(5,6)44-50(56)52-47-36-38-48(39-37-47)57-42-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h32-39H,7-31,40-44H2,1-6H3;2*1H"
14-4-14,2.51e-05,,conductometry,,,,25,10.1016/j.molliq.2017.06.008,,CCCCCCCCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CCCC[N+](C)(C)CC(=O)Nc2ccc(CCCCCCCCCCCCCC)cc2)cc1.[Br-].[Br-],,4.600326278518962,,981.1409999999994,"InChI=1S/C52H90N4O3.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-29-33-47-34-36-48(37-35-47)53-51(57)45-55(3,4)42-30-31-43-56(5,6)46-52(58)54-49-38-40-50(41-39-49)59-44-32-28-26-24-22-20-18-16-14-12-10-8-2;;/h34-41H,7-33,42-46H2,1-6H3;2*1H"
14-6-14,2.5e-05,,conductometry,,,,25,10.1016/j.molliq.2017.06.008,,CCCCCCCCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CCCCCC[N+](C)(C)CC(=O)Nc2ccc(CCCCCCCCCCCCCC)cc2)cc1.[Br-].[Br-],,4.6020599913279625,,1009.1949999999995,"InChI=1S/C54H94N4O3.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-31-35-49-36-38-50(39-37-49)55-53(59)47-57(3,4)44-32-28-29-33-45-58(5,6)48-54(60)56-51-40-42-52(43-41-51)61-46-34-30-26-24-22-20-18-16-14-12-10-8-2;;/h36-43H,7-35,44-48H2,1-6H3;2*1H"
16-2-16,,,,,,,25,10.1016/j.molliq.2017.06.008,,CCCCCCCCCCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CC[N+](C)(C)CC(=O)Nc2ccc(CCCCCCCCCCCCCCCC)cc2)cc1.[Br-].[Br-],,,,1009.1949999999993,"InChI=1S/C54H94N4O3.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-29-31-33-35-49-36-38-50(39-37-49)55-53(59)47-57(3,4)44-45-58(5,6)48-54(60)56-51-40-42-52(43-41-51)61-46-34-32-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h36-43H,7-35,44-48H2,1-6H3;2*1H"
16-4-16,1.98e-05,,conductometry,,,,25,10.1016/j.molliq.2017.06.008,,CCCCCCCCCCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CCCC[N+](C)(C)CC(=O)Nc2ccc(CCCCCCCCCCCCCCCC)cc2)cc1.[Br-].[Br-],,4.703334809738469,,1037.2489999999993,"InChI=1S/C56H98N4O3.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-29-31-33-37-51-38-40-52(41-39-51)57-55(61)49-59(3,4)46-34-35-47-60(5,6)50-56(62)58-53-42-44-54(45-43-53)63-48-36-32-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h38-45H,7-37,46-50H2,1-6H3;2*1H"
16-6-16,2.34e-05,,conductometry,,,,25,10.1016/j.molliq.2017.06.008,,CCCCCCCCCCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CCCCCC[N+](C)(C)CC(=O)Nc2ccc(CCCCCCCCCCCCCCCC)cc2)cc1.[Br-].[Br-],,4.6307841425898575,,1065.3029999999992,"InChI=1S/C58H102N4O3.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-29-31-35-39-53-40-42-54(43-41-53)59-57(63)51-61(3,4)48-36-32-33-37-49-62(5,6)52-58(64)60-55-44-46-56(47-45-55)65-50-38-34-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h40-47H,7-39,48-52H2,1-6H3;2*1H"
