Surfactant,AW_ST_CMC,method,SMILES,InChI,Molecular_Weight,source_doi,reference_doi,ref_keys,Temp_Celsius
Octyl Glycol,26.7,tensiometry,CCCCCCCCOCCO,"InChI=1S/C10H22O2/c1-2-3-4-5-6-7-9-12-10-8-11/h11H,2-10H2,1H3",174.284,10.1016/j.jcis.2018.01.051,10.1021/j150575a003,shinoda1959,25.850000000000023
1-Ethyloctyl- b-D-Glucoside,27.0,tensiometry,CCCCCCCC(CC)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,"InChI=1S/C16H32O6/c1-3-5-6-7-8-9-11(4-2)21-16-15(20)14(19)13(18)12(10-17)22-16/h11-20H,3-10H2,1-2H3/t11?,12-,13-,14+,15-,16-/m1/s1",320.4260000000001,10.1016/j.jcis.2018.01.051,10.5650/jos1956.40.709,matsumura1991,25.850000000000023
S-Hexyl 1-Thio- L-Ribitol,27.2,tensiometry,CCCCCCSC[C@H](O)[C@H](O)[C@H](O)CO,"InChI=1S/C11H24O4S/c1-2-3-4-5-6-16-8-10(14)11(15)9(13)7-12/h9-15H,2-8H2,1H3/t9-,10+,11-/m1/s1",252.376,10.1016/j.jcis.2018.01.051,10.1016/j.jcis.2004.01.020,lalot2004,20.850000000000023
"3,7-Dimethyloctyl- b-D-Glucoside",27.7,tensiometry,CC(C)CCCC(C)CCO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,"InChI=1S/C16H32O6/c1-10(2)5-4-6-11(3)7-8-21-16-15(20)14(19)13(18)12(9-17)22-16/h10-20H,4-9H2,1-3H3/t11?,12-,13-,14+,15-,16-/m1/s1",320.4260000000001,10.1016/j.jcis.2018.01.051,10.1016/j.chemphyslip.2005.01.001,minamikawa2005,25.850000000000023
1-Methylnonyl- b-D-Glucoside,28.0,tensiometry,CCCCCCCCC(C)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,"InChI=1S/C16H32O6/c1-3-4-5-6-7-8-9-11(2)21-16-15(20)14(19)13(18)12(10-17)22-16/h11-20H,3-10H2,1-2H3/t11?,12-,13-,14+,15-,16-/m1/s1",320.42600000000016,10.1016/j.jcis.2018.01.051,10.5650/jos1956.40.709,matsumura1991,25.850000000000023
Decyl- b-D-Galactoside,28.0,tensiometry,CCCCCCCCCCO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,"InChI=1S/C16H32O6/c1-2-3-4-5-6-7-8-9-10-21-16-15(20)14(19)13(18)12(11-17)22-16/h12-20H,2-11H2,1H3/t12-,13-,14+,15-,16-/m1/s1",320.4260000000001,10.1016/j.jcis.2018.01.051,10.1007/BF02541865,matsumura1990,25.850000000000023
Dodecanoyl- N-Methylxylamine,28.0,tensiometry,Cc1cccc(C(=O)N(C)CCCCCCCCCCCC=O)c1C,"InChI=1S/C22H35NO2/c1-19-15-14-16-21(20(19)2)22(25)23(3)17-12-10-8-6-4-5-7-9-11-13-18-24/h14-16,18H,4-13,17H2,1-3H3",345.5270000000001,10.1016/j.jcis.2018.01.051,10.1007/s11743-999-0089-0,zhu1999,25.850000000000023
S-Hexyl 1-Thio- L-Xylitol,28.2,tensiometry,CCCCCCSC[C@@H](O)[C@H](O)[C@@H](O)CO,"InChI=1S/C11H24O4S/c1-2-3-4-5-6-16-8-10(14)11(15)9(13)7-12/h9-15H,2-8H2,1H3/t9-,10+,11+/m0/s1",252.376,10.1016/j.jcis.2018.01.051,10.1016/j.jcis.2004.01.020,lalot2004,20.850000000000023
Dodecyl- a-D-Mannoside,28.4,tensiometry,CCCCCCCCCCCCO[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O,"InChI=1S/C18H36O6/c1-2-3-4-5-6-7-8-9-10-11-12-23-18-17(22)16(21)15(20)14(13-19)24-18/h14-22H,2-13H2,1H3/t14-,15-,16+,17+,18+/m1/s1",348.4800000000002,10.1016/j.jcis.2018.01.051,10.1007/BF02541865,matsumura1990,25.850000000000023
6-O-[(Hexyloctyl)-3-Propylsulﬁde)ethanoyl]- D-Mannose,28.5,tensiometry,CCCCCCCC(CCCCCC)SCCC(=O)OC[C@H]1OC(O)[C@@H](O)[C@@H](O)[C@@H]1O,"InChI=1S/C23H44O7S/c1-3-5-7-9-11-13-17(12-10-8-6-4-2)31-15-14-19(24)29-16-18-20(25)21(26)22(27)23(28)30-18/h17-18,20-23,25-28H,3-16H2,1-2H3/t17?,18-,20-,21+,22+,23?/m1/s1",464.6650000000005,10.1016/j.jcis.2018.01.051,10.1016/j.carres.2013.07.003,boyere2013,25.850000000000023
Decyl- a-D-Mannoside,28.5,tensiometry,CCCCCCCCCCO[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O,"InChI=1S/C16H32O6/c1-2-3-4-5-6-7-8-9-10-21-16-15(20)14(19)13(18)12(11-17)22-16/h12-20H,2-11H2,1H3/t12-,13-,14+,15+,16+/m1/s1",320.4260000000001,10.1016/j.jcis.2018.01.051,10.1007/BF02541865,matsumura1990,25.850000000000023
Decyl- b-D-Glucoside,28.5,tensiometry,CCCCCCCCCCO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O,"InChI=1S/C16H32O6/c1-2-3-4-5-6-7-8-9-10-21-16-15(20)14(19)13(18)12(11-17)22-16/h12-20H,2-11H2,1H3/t12-,13-,14+,15+,16-/m1/s1",320.4260000000001,10.1016/j.jcis.2018.01.051,10.1021/la980519x,aveyard1998,25.850000000000023
"1-O-Octanoyl- D,L-Xylitol",28.6,tensiometry,CCCCCCCC(=O)OC[C@@H](O)[C@H](O)[C@@H](O)CO.CCCCCCCC(=O)OC[C@H](O)[C@@H](O)[C@H](O)CO,"InChI=1S/2C13H26O6/c2*1-2-3-4-5-6-7-12(17)19-9-11(16)13(18)10(15)8-14/h2*10-11,13-16,18H,2-9H2,1H3/t2*10-,11+,13+/m10/s1",556.6900000000005,10.1016/j.jcis.2018.01.051,10.1016/S0378-5173(99)00078-2,savelli1999,25.850000000000023
Octyl- b-D-Thioglucoside,28.7,tensiometry,CCCCCCCCS[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O,"InChI=1S/C14H28O5S/c1-2-3-4-5-6-7-8-20-14-13(18)12(17)11(16)10(9-15)19-14/h10-18H,2-9H2,1H3/t10-,11-,12+,13+,14+/m1/s1",308.4400000000001,10.1016/j.jcis.2018.01.051,10.1021/jp0480551,molina-bolivar2004,25.850000000000023
Octanoyl- b-D-Galactosylamine,29.3,tensiometry,CCCCCCCC(=O)N[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,"InChI=1S/C14H27NO6/c1-2-3-4-5-6-7-10(17)15-14-13(20)12(19)11(18)9(8-16)21-14/h9,11-14,16,18-20H,2-8H2,1H3,(H,15,17)/t9-,11-,12+,13-,14-/m1/s1",305.3710000000001,10.1016/j.jcis.2018.01.051,10.1080/07328309408011677,plusquellec1994,25.850000000000023
S-Octyl 1-Thio- D-Lyxitol,29.3,tensiometry,CCCCCCCCSC[C@@H](O)[C@H](O)[C@H](O)CO,"InChI=1S/C13H28O4S/c1-2-3-4-5-6-7-8-18-10-12(16)13(17)11(15)9-14/h11-17H,2-10H2,1H3/t11-,12-,13-/m1/s1",280.43000000000006,10.1016/j.jcis.2018.01.051,10.1016/j.jcis.2004.01.020,lalot2004,20.850000000000023
Pentyl Isosorbide,29.8,tensiometry,CCCCCO[C@@H]1CO[C@H]2[C@@H]1OC[C@@H]2O,"InChI=1S/C11H20O4/c1-2-3-4-5-13-9-7-15-10-8(12)6-14-11(9)10/h8-12H,2-7H2,1H3/t8-,9+,10+,11+/m0/s1",216.27699999999993,10.1016/j.jcis.2018.01.051,10.1039/b717203f,zhu2008,25.850000000000023
"1-O-Heptanoyl- D,L-Xylitol",30.0,tensiometry,CCCCCCC(=O)OC[C@@H](O)[C@H](O)[C@@H](O)CO.CCCCCCC(=O)OC[C@H](O)[C@@H](O)[C@H](O)CO,"InChI=1S/2C12H24O6/c2*1-2-3-4-5-6-11(16)18-8-10(15)12(17)9(14)7-13/h2*9-10,12-15,17H,2-8H2,1H3/t2*9-,10+,12+/m10/s1",528.6360000000004,10.1016/j.jcis.2018.01.051,10.1016/S0378-5173(99)00078-2,savelli1999,25.850000000000023
"1-O-Pentanoyl- D,L-Xylitol",30.0,tensiometry,CCCCC(=O)OC[C@@H](O)[C@H](O)[C@@H](O)CO.CCCCC(=O)OC[C@H](O)[C@@H](O)[C@H](O)CO,"InChI=1S/2C10H20O6/c2*1-2-3-4-9(14)16-6-8(13)10(15)7(12)5-11/h2*7-8,10-13,15H,2-6H2,1H3/t2*7-,8+,10+/m10/s1",472.5280000000003,10.1016/j.jcis.2018.01.051,10.1016/S0378-5173(99)00078-2,savelli1999,25.850000000000023
S-Hexyl 1-Thio- D-Lyxitol,30.0,tensiometry,CCCCCCSC[C@@H](O)[C@H](O)[C@H](O)CO,"InChI=1S/C11H24O4S/c1-2-3-4-5-6-16-8-10(14)11(15)9(13)7-12/h9-15H,2-8H2,1H3/t9-,10-,11-/m1/s1",252.376,10.1016/j.jcis.2018.01.051,10.1016/j.jcis.2004.01.020,lalot2004,20.850000000000023
2-Amino-2-Deoxy-Nonyl- b-D-Glucoside,30.2,tensiometry,CCCCCCCCCO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1N,"InChI=1S/C15H31NO5/c1-2-3-4-5-6-7-8-9-20-15-12(16)14(19)13(18)11(10-17)21-15/h11-15,17-19H,2-10,16H2,1H3/t11-,12-,13-,14-,15-/m1/s1",305.4150000000001,10.1016/j.jcis.2018.01.051,10.1021/la950485i,boullanger1996,25.850000000000023
Nonyl- b-D-Glucoside,30.4,tensiometry,CCCCCCCCCO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O,"InChI=1S/C15H30O6/c1-2-3-4-5-6-7-8-9-20-15-14(19)13(18)12(17)11(10-16)21-15/h11-19H,2-10H2,1H3/t11-,12-,13+,14+,15-/m1/s1",306.39900000000006,10.1016/j.jcis.2018.01.051,10.1021/la035613e,ericsson2004,20.850000000000023
Octyl- a-D-Mannoside,30.5,tensiometry,CCCCCCCCO[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O,"InChI=1S/C14H28O6/c1-2-3-4-5-6-7-8-19-14-13(18)12(17)11(16)10(9-15)20-14/h10-18H,2-9H2,1H3/t10-,11-,12+,13+,14+/m1/s1",292.372,10.1016/j.jcis.2018.01.051,10.1007/BF02541865,matsumura1990,25.850000000000023
Octyl- b-D-Galactoside,30.5,tensiometry,CCCCCCCCO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,"InChI=1S/C14H28O6/c1-2-3-4-5-6-7-8-19-14-13(18)12(17)11(16)10(9-15)20-14/h10-18H,2-9H2,1H3/t10-,11-,12+,13-,14-/m1/s1",292.372,10.1016/j.jcis.2018.01.051,10.1007/BF02541865,matsumura1990,25.850000000000023
Octyl- b-D-Glucoside,30.5,tensiometry,CCCCCCCCO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,"InChI=1S/C14H28O6/c1-2-3-4-5-6-7-8-19-14-13(18)12(17)11(16)10(9-15)20-14/h10-18H,2-9H2,1H3/t10-,11-,12+,13-,14-/m1/s1",292.372,10.1016/j.jcis.2018.01.051,10.1007/BF02541865,matsumura1990,25.850000000000023
