ID,Tail_1,Tail_2,Ion_1,Ion_2,Spacer,−logCMC_exp,−logCMC_calc,Surfactant_Type,Ref_CMC,Note,SMILES,Surfactant_Type,Temp_Celsius
36,C16H32,C16H32,(CH3)2N+,(CH3)2N+,(CH2)8,4.4815,4.6567,gemini,10.1016/j.chemosphere.2011.05.031,"electrical conductivity of surfactant solutions with varying concentration on a conductometer at 25 °. Representative structures of the B–CmHn means branched alkyl Gemini surfactants, E–CmO represents esterquat Gemini surfactants with the formula: [H2m−1Cm−1COOCH2CH2(CH3)2N+(CH2)nN+(CH3)2CH2CH2OOCCm−1H2m−1]2Br−.",CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-],cationic gemini,25.0
37,C16H32,C16H32,(CH3)2N+,(CH3)2N+,(CH2)10,4.5686,4.9715,gemini,10.1016/j.chemosphere.2011.05.031,"electrical conductivity of surfactant solutions with varying concentration on a conductometer at 25 °. Representative structures of the B–CmHn means branched alkyl Gemini surfactants, E–CmO represents esterquat Gemini surfactants with the formula: [H2m−1Cm−1COOCH2CH2(CH3)2N+(CH2)nN+(CH3)2CH2CH2OOCCm−1H2m−1]2Br−.",CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-],cationic gemini,25.0
38,C16H32,C16H32,(CH3)2N+,(CH3)2N+,(CH2)12,4.699,5.2871,gemini,10.1016/j.chemosphere.2011.05.031,"electrical conductivity of surfactant solutions with varying concentration on a conductometer at 25 °. Representative structures of the B–CmHn means branched alkyl Gemini surfactants, E–CmO represents esterquat Gemini surfactants with the formula: [H2m−1Cm−1COOCH2CH2(CH3)2N+(CH2)nN+(CH3)2CH2CH2OOCCm−1H2m−1]2Br−.",CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-],cationic gemini,25.0
39,C10H21,C10H21,(CH3)2N+,(CH3)2N+,(CH2)4,2.0565,2.129,gemini,10.1016/j.chemosphere.2011.05.031,"electrical conductivity of surfactant solutions with varying concentration on a conductometer at 25 °. Representative structures of the B–CmHn means branched alkyl Gemini surfactants, E–CmO represents esterquat Gemini surfactants with the formula: [H2m−1Cm−1COOCH2CH2(CH3)2N+(CH2)nN+(CH3)2CH2CH2OOCCm−1H2m−1]2Br−.",CCCCCCCCCC[N+](C)(C)CCCC[N+](C)(C)CCCCCCCCCC.[Br-].[Br-],cationic gemini,25.0
40,C14H29,C14H29,(CH3)2N+,(CH3)2N+,(CH2)4,3.8697,3.3941,gemini,10.1016/j.chemosphere.2011.05.031,"electrical conductivity of surfactant solutions with varying concentration on a conductometer at 25 °. Representative structures of the B–CmHn means branched alkyl Gemini surfactants, E–CmO represents esterquat Gemini surfactants with the formula: [H2m−1Cm−1COOCH2CH2(CH3)2N+(CH2)nN+(CH3)2CH2CH2OOCCm−1H2m−1]2Br−.",CCCCCCCCCCCCCC[N+](C)(C)CCCC[N+](C)(C)CCCCCCCCCCCCCC.[Br-].[Br-],cationic gemini,25.0
41,C10H21,C10H21,(CH3)2N+,(CH3)2N+,(CH2)2,2.2076,1.8278,gemini,10.1016/j.chemosphere.2011.05.031,"electrical conductivity of surfactant solutions with varying concentration on a conductometer at 25 °. Representative structures of the B–CmHn means branched alkyl Gemini surfactants, E–CmO represents esterquat Gemini surfactants with the formula: [H2m−1Cm−1COOCH2CH2(CH3)2N+(CH2)nN+(CH3)2CH2CH2OOCCm−1H2m−1]2Br−.",CCCCCCCCCC[N+](C)(C)CC[N+](C)(C)CCCCCCCCCC.[Br-].[Br-],cationic gemini,25.0
42,C10H21,C10H21,(CH3)2N+,(CH3)2N+,(CH2)3,2.1871,1.978,gemini,10.1016/j.chemosphere.2011.05.031,"electrical conductivity of surfactant solutions with varying concentration on a conductometer at 25 °. Representative structures of the B–CmHn means branched alkyl Gemini surfactants, E–CmO represents esterquat Gemini surfactants with the formula: [H2m−1Cm−1COOCH2CH2(CH3)2N+(CH2)nN+(CH3)2CH2CH2OOCCm−1H2m−1]2Br−.",CCCCCCCCCC[N+](C)(C)CCC[N+](C)(C)CCCCCCCCCC.[Br-].[Br-],cationic gemini,25.0
43,C10H21,C10H21,(CH3)2N+,(CH3)2N+,(CH2)4,2.0605,2.129,gemini,10.1016/j.chemosphere.2011.05.031,"electrical conductivity of surfactant solutions with varying concentration on a conductometer at 25 °. Representative structures of the B–CmHn means branched alkyl Gemini surfactants, E–CmO represents esterquat Gemini surfactants with the formula: [H2m−1Cm−1COOCH2CH2(CH3)2N+(CH2)nN+(CH3)2CH2CH2OOCCm−1H2m−1]2Br−.",CCCCCCCCCC[N+](C)(C)CCCC[N+](C)(C)CCCCCCCCCC.[Br-].[Br-],cationic gemini,25.0
44,C10H21,C10H21,(CH3)2N+,(CH3)2N+,(CH2)6,2.0362,2.4329,gemini,10.1016/j.chemosphere.2011.05.031,"electrical conductivity of surfactant solutions with varying concentration on a conductometer at 25 °. Representative structures of the B–CmHn means branched alkyl Gemini surfactants, E–CmO represents esterquat Gemini surfactants with the formula: [H2m−1Cm−1COOCH2CH2(CH3)2N+(CH2)nN+(CH3)2CH2CH2OOCCm−1H2m−1]2Br−.",CCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCCCCCC.[Br-].[Br-],cationic gemini,25.0
45,C10H21,C10H21,(CH3)2N+,(CH3)2N+,(CH2)8,2.1249,2.7395,gemini,10.1016/j.chemosphere.2011.05.031,"electrical conductivity of surfactant solutions with varying concentration on a conductometer at 25 °. Representative structures of the B–CmHn means branched alkyl Gemini surfactants, E–CmO represents esterquat Gemini surfactants with the formula: [H2m−1Cm−1COOCH2CH2(CH3)2N+(CH2)nN+(CH3)2CH2CH2OOCCm−1H2m−1]2Br−.",CCCCCCCCCC[N+](C)(C)CCCCCCCC[N+](C)(C)CCCCCCCCCC.[Br-].[Br-],cationic gemini,25.0
