molecule,CMC (mM),T (°C),log CMC (M),set,ref,SMILES,pCMC,method
6′-O-dodecanoylmaltose,0.33,22,−3.5,T,55,,3.4814860601221125,
N-decanoyl-N-methyl lactitolamine,3.3,25,−2.5,T,101,,2.4814860601221125,
N-dodecanoyl-N-methyl lactitolamine,0.45,25,−3.3,T,101,,3.3467874862246565,
N-tetradecanoyl-N-methyl lactitolamine,0.068,25,−4.2,T,101,,4.167491087293763,
nonyl-β-D-glucoside,6.9,20,−2.2,V,102,,2.161150909262745,
6-O-[(hexyloctyl)-3-propylsulfide)ethanoyl]-D-mannose,0.0063,25,−5.2,T,56,CCCCCCC(CCCCCCCOC[C@H]1OC(O)[C@@H](O)[C@@H](O)[C@@H]1O)C(CC)SCCC,5.200659450546418,
6-O-dodecanoylsucrose,0.46,20,−3.3,V,90,CCCCCCCCCCC(=O)OC(O)[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,3.337242168318426,
6-O-dodecanoylraffinose,0.95,20,−3.0,T,90,CCCCCCCCCCC(=O)OC(O)[C@H]1O[C@H](OC[C@H]2O[C@H](O[C@]3(CO)O[C@H](CO)[C@@H](O)[C@@H]3O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1O,3.0222763947111524,
6-O-dodecanoylstachyose,2.3,20,−2.6,T,90,CCCCCCCCCCC(=O)OC(O)[C@H]1O[C@H](OC[C@H]2O[C@H](OC[C@H]3O[C@H](O[C@]4(CO)O[C@H](CO)[C@@H](O)[C@@H]4O)[C@H](O)[C@@H](O)[C@@H]3O)[C@H](O)[C@@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@H]1O,2.638272163982407,
octyl-β-D-thioglucoside,8.5,25,−2.0,V,103,,2.070581074285707,
