No.,Compound,103 CMC (M),γ_+CMC,103 acMC (M),α,ΔG0mica (kJ/mol),ΔG0micb (kJ/mol),Temp_Celsius,source_doi,reference_doi,SMILES
IIIc,C16-TAB,,,,0.16,,,25,10.1016/0927-7757(95)03093-S,10.1021/j100260a044,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-]
IV,C12-EO1-TAB,,0.911,5.74,0.26,39.5,-39.16,25,10.1016/0927-7757(95)03093-S,,CCCCCCCCCCCCOCC[N+](C)(C)C.[Br-]
IV,C12-EO1-TAB,6.3,,,,,,25,10.1016/0927-7757(95)03093-S,10.1007/BF01550555,CCCCCCCCCCCCOCC[N+](C)(C)C.[Br-]
Va,C10-EO2-TAB,,0.864,13.39,,-34.04,-33.44,25,10.1016/0927-7757(95)03093-S,,CCCCCCCCCCOCCOCC[N+](C)(C)C.[Br-]
Va,C10-EO2-TAB,15.5,,,0.35,,,25,10.1016/0927-7757(95)03093-S,10.1007/BF01550555,CCCCCCCCCCOCCOCC[N+](C)(C)C.[Br-]
Vb,C12-EO2-TAB,,0.931,3.44,,-41.29,-40.98,25,10.1016/0927-7757(95)03093-S,,CCCCCCCCCCCCOCCOCC[N+](C)(C)C.[Br-]
Vb,C12-EO2-TAB,3.7,,,0.28,,,25,10.1016/0927-7757(95)03093-S,10.1007/BF01550555,CCCCCCCCCCCCOCCOCC[N+](C)(C)C.[Br-]
Vc,C14-EO2-TAB,,0.965,0.878,,-49.58,-49.43,25,10.1016/0927-7757(95)03093-S,,CCCCCCCCCCCCCCOCCOCC[N+](C)(C)C.[Br-]
Vc,C14-EO2-TAB,0.92,,,0.19,,,25,10.1016/0927-7757(95)03093-S,10.1007/BF01550555,CCCCCCCCCCCCCCOCCOCC[N+](C)(C)C.[Br-]
Vd,C16-EO2-TAB,,0.982,0.226,0.08,-59.07,-58.98,25,10.1016/0927-7757(95)03093-S,,CCCCCCCCCCCCCCCCOCCOCC[N+](C)(C)C.[Br-]
Vd,C16-EO2-TAB,0.23,,,,,,25,10.1016/0927-7757(95)03093-S,10.1007/BF01550555,CCCCCCCCCCCCCCCCOCCOCC[N+](C)(C)C.[Br-]
VI,C12-EO3-TAB,,0.933,3.172,0.32,-40.67,-40.38,25,10.1016/0927-7757(95)03093-S,,CCCCCCCCCCCCOCCOCCOCC[N+](C)(C)C.[Br-]
VI,C12-EO3-TAB,3.4,,,,,,25,10.1016/0927-7757(95)03093-S,10.1007/BF01550555,CCCCCCCCCCCCOCCOCCOCC[N+](C)(C)C.[Br-]
