identifier,CMC,AW_ST_CMC,F x 10^20/ m2,source_doi,SMILES,reference_doi,Temp_Celsius,method,Molecular_Weight,InChI,Gamma_max,Area_min,pCMC
XXIII,0.0011,38.2,128.5,10.1016/0021-9797(86)90417-0,CCCCCCCCCCCC[N+](C)(C)CCCOCCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],,20,tensiometry,686.7870000000006,"InChI=1S/C34H74N2O.2BrH/c1-7-9-11-13-15-17-19-21-23-25-29-35(3,4)31-27-33-37-34-28-32-36(5,6)30-26-24-22-20-18-16-14-12-10-8-2;;/h7-34H2,1-6H3;2*1H/q+2;;/p-2",1.29e-06,1.2850000000000001,2.958607314841775
XXIV,0.00031,39.7,125.8,10.1016/0021-9797(86)90417-0,CCCCCCCCCCCCC[N+](C)(C)CCCOCCC[N+](C)(C)CCCCCCCCCCCCC.[Br-].[Br-],,20,tensiometry,714.8410000000005,"InChI=1S/C36H78N2O.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-31-37(3,4)33-29-35-39-36-30-34-38(5,6)32-28-26-24-22-20-18-16-14-12-10-8-2;;/h7-36H2,1-6H3;2*1H/q+2;;/p-2",1.32e-06,1.258,3.5086383061657274
XXV,0.0001,40.1,138.4,10.1016/0021-9797(86)90417-0,CCCCCCCCCCCCCC[N+](C)(C)CCCOCCC[N+](C)(C)CCCCCCCCCCCCCC.[Br-].[Br-],,20,tensiometry,742.8950000000003,"InChI=1S/C38H82N2O.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-29-33-39(3,4)35-31-37-41-38-32-36-40(5,6)34-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h7-38H2,1-6H3;2*1H/q+2;;/p-2",1.2e-06,1.3840000000000001,4.0
XXVI,4.4e-06,47.2,141.3,10.1016/0021-9797(86)90417-0,CCCCCCCCCCCCCCCC[N+](C)(C)CCCOCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-],,20,tensiometry,799.003,"InChI=1S/C42H90N2O.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-29-31-33-37-43(3,4)39-35-41-45-42-36-40-44(5,6)38-34-32-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h7-42H2,1-6H3;2*1H/q+2;;/p-2",1.18e-06,1.413,5.356547323513812
XXVII,0.061,28.7,78.8,10.1016/0021-9797(86)90417-0,CCCCCC[N+](C)(C)CCCSCCC[N+](C)(C)CCCCCC.[Br-].[Br-],,20,tensiometry,534.5310000000002,"InChI=1S/C22H50N2S.2BrH/c1-7-9-11-13-17-23(3,4)19-15-21-25-22-16-20-24(5,6)18-14-12-10-8-2;;/h7-22H2,1-6H3;2*1H/q+2;;/p-2",2.1099999999999997e-06,0.7879999999999999,1.214670164989233
XXVIII,0.021,33.1,88.3,10.1016/0021-9797(86)90417-0,CCCCCCCC[N+](C)(C)CCCSCCC[N+](C)(C)CCCCCCCC.[Br-].[Br-],,20,tensiometry,590.6390000000004,"InChI=1S/C26H58N2S.2BrH/c1-7-9-11-13-15-17-21-27(3,4)23-19-25-29-26-20-24-28(5,6)22-18-16-14-12-10-8-2;;/h7-26H2,1-6H3;2*1H/q+2;;/p-2",1.8799999999999998e-06,0.883,1.6777807052660807
XXIX,0.0088,35.0,85.1,10.1016/0021-9797(86)90417-0,CCCCCCCCCC[N+](C)(C)CCCSCCC[N+](C)(C)CCCCCCCCCC.[Br-].[Br-],,20,tensiometry,646.7470000000005,"InChI=1S/C30H66N2S.2BrH/c1-7-9-11-13-15-17-19-21-25-31(3,4)27-23-29-33-30-24-28-32(5,6)26-22-20-18-16-14-12-10-8-2;;/h7-30H2,1-6H3;2*1H/q+2;;/p-2",1.95e-06,0.851,2.0555173278498313
XXX,0.00084,34.5,83.9,10.1016/0021-9797(86)90417-0,CCCCCCCCCCCC[N+](C)(C)CCCSCCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],,20,tensiometry,702.8550000000005,"InChI=1S/C34H74N2S.2BrH/c1-7-9-11-13-15-17-19-21-23-25-29-35(3,4)31-27-33-37-34-28-32-36(5,6)30-26-24-22-20-18-16-14-12-10-8-2;;/h7-34H2,1-6H3;2*1H/q+2;;/p-2",1.19e-06,0.839,3.0757207139381184
XXXI,0.00015,33.9,113.5,10.1016/0021-9797(86)90417-0,CCCCCCCCCCCCCC[N+](C)(C)CCCSCCC[N+](C)(C)CCCCCCCCCCCCCC.[Br-].[Br-],,20,tensiometry,758.9630000000002,"InChI=1S/C38H82N2S.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-29-33-39(3,4)35-31-37-41-38-32-36-40(5,6)34-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h7-38H2,1-6H3;2*1H/q+2;;/p-2",1.46e-06,1.135,3.8239087409443187
XXXII,1.7e-05,41.9,121.4,10.1016/0021-9797(86)90417-0,CCCCCCCCCCCCCCCC[N+](C)(C)CCCSCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-],,20,tensiometry,815.0709999999998,"InChI=1S/C42H90N2S.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-29-31-33-37-43(3,4)39-35-41-45-42-36-40-44(5,6)38-34-32-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h7-42H2,1-6H3;2*1H/q+2;;/p-2",1.37e-06,1.214,4.769551078621726
XXXIII,5.2e-06,40.9,119.7,10.1016/0021-9797(86)90417-0,CCCCCCCCCCCCCCCCCC[N+](C)(C)CCCSCCC[N+](C)(C)CCCCCCCCCCCCCCCCCC.[Br-].[Br-],,20,tensiometry,871.1789999999995,"InChI=1S/C46H98N2S.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-29-31-33-35-37-41-47(3,4)43-39-45-49-46-40-44-48(5,6)42-38-36-34-32-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h7-46H2,1-6H3;2*1H/q+2;;/p-2",1.3899999999999998e-06,1.197,5.2839966563652006
I,0.16,,,10.1016/0021-9797(86)90417-0,CCCCCC[N+](C)(C)CCCCCCC[N+](C)(C)CCCCCC.[Br-].[Br-],,20,conductometry,516.4910000000002,"InChI=1S/C23H52N2.2BrH/c1-7-9-11-16-20-24(3,4)22-18-14-13-15-19-23-25(5,6)21-17-12-10-8-2;;/h7-23H2,1-6H3;2*1H/q+2;;/p-2",,,0.7958800173440752
II,0.048,,,10.1016/0021-9797(86)90417-0,CCCCCCCC[N+](C)(C)CCCCCCC[N+](C)(C)CCCCCCCC.[Br-].[Br-],,20,,572.5990000000003,"InChI=1S/C27H60N2.2BrH/c1-7-9-11-13-16-20-24-28(3,4)26-22-18-15-19-23-27-29(5,6)25-21-17-14-12-10-8-2;;/h7-27H2,1-6H3;2*1H/q+2;;/p-2",,,1.3187587626244128
III,0.025,,,10.1016/0021-9797(86)90417-0,CCCCCCCCC[N+](C)(C)CCCCCCC[N+](C)(C)CCCCCCCCC.[Br-].[Br-],,20,,600.6530000000004,"InChI=1S/C29H64N2.2BrH/c1-7-9-11-13-15-18-22-26-30(3,4)28-24-20-17-21-25-29-31(5,6)27-23-19-16-14-12-10-8-2;;/h7-29H2,1-6H3;2*1H/q+2;;/p-2",,,1.6020599913279623
IV,0.0089,,,10.1016/0021-9797(86)90417-0,CCCCCCCCCC[N+](C)(C)CCCCCCC[N+](C)(C)CCCCCCCCCC.[Br-].[Br-],,20,,628.7070000000004,"InChI=1S/C31H68N2.2BrH/c1-7-9-11-13-15-17-20-24-28-32(3,4)30-26-22-19-23-27-31-33(5,6)29-25-21-18-16-14-12-10-8-2;;/h7-31H2,1-6H3;2*1H/q+2;;/p-2",,,2.050609993355087
V,0.003,,,10.1016/0021-9797(86)90417-0,CCCCCCCCCCC[N+](C)(C)CCCCCCC[N+](C)(C)CCCCCCCCCCC.[Br-].[Br-],,20,,656.7610000000005,"InChI=1S/C33H72N2.2BrH/c1-7-9-11-13-15-17-19-22-26-30-34(3,4)32-28-24-21-25-29-33-35(5,6)31-27-23-20-18-16-14-12-10-8-2;;/h7-33H2,1-6H3;2*1H/q+2;;/p-2",,,2.5228787452803374
VI,0.0011,,,10.1016/0021-9797(86)90417-0,CCCCCCCCCCCC[N+](C)(C)CCCCCCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],,20,,684.8150000000006,"InChI=1S/C35H76N2.2BrH/c1-7-9-11-13-15-17-19-21-24-28-32-36(3,4)34-30-26-23-27-31-35-37(5,6)33-29-25-22-20-18-16-14-12-10-8-2;;/h7-35H2,1-6H3;2*1H/q+2;;/p-2",,,2.958607314841775
VII,0.00041,,,10.1016/0021-9797(86)90417-0,CCCCCCCCCCCCC[N+](C)(C)CCCCCCC[N+](C)(C)CCCCCCCCCCCCC.[Br-].[Br-],,20,,712.8690000000005,"InChI=1S/C37H80N2.2BrH/c1-7-9-11-13-15-17-19-21-23-26-30-34-38(3,4)36-32-28-25-29-33-37-39(5,6)35-31-27-24-22-20-18-16-14-12-10-8-2;;/h7-37H2,1-6H3;2*1H/q+2;;/p-2",,,3.3872161432802645
VIII,0.00018,,,10.1016/0021-9797(86)90417-0,CCCCCCCCCCCCCC[N+](C)(C)CCCCCCC[N+](C)(C)CCCCCCCCCCCCCC.[Br-].[Br-],,20,,740.9230000000003,"InChI=1S/C39H84N2.2BrH/c1-7-9-11-13-15-17-19-21-23-25-28-32-36-40(3,4)38-34-30-27-31-35-39-41(5,6)37-33-29-26-24-22-20-18-16-14-12-10-8-2;;/h7-39H2,1-6H3;2*1H/q+2;;/p-2",,,3.744727494896694
