Number,SMILES,STCMC (mN/m),Reference
76,C1C[N+](CCO1)(CC2=CC=C(C=C2)C[N+]3(CCOCC3)CCCCCCCCCCCCCC)CCCCCCCCCCCCCC.[Cl-].[Cl-],42.5,17
77,C1C[N+](CCO1)(CC2=CC=C(C=C2)C[N+]3(CCOCC3)CCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCC.[Cl-].[Cl-],49.1,17
78,CCCCCCCCCCCCC(C(CCCCCCCCCCCC)C[N+](C)(C)C)C[N+](C)(C)C.[Br-].[Br-],35.3,18
79,CCCCCCCCCCCC[N+](CCO)(CCO)CCO.[Cl-],37.8,19
80,CCCCCCCCCCCC[N+]1=CC=CC=C1.[Br-],38.9,19
81,CCCCCCCCCCCC[N+](C)(C)C.COS(=O)(=O)[O-],38.3,19
82,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],40.4,19
83,CCCCCCCCCC[N+]1=CC=CC=C1.[Br-],40.1,19
84,CCCCCCCCCCCCCC[N+]1=CC=CC=C1.[Br-],40.8,19
85,CCCCCCCCCCCC[NH2+]CCO.[Cl-],40.8,19
86,CCCCCCCCCCCC[NH+](CCO)CCO.[Cl-],39.8,19
87,CCCCCCCCCCCCCC[N+](CCC)(CCC)CCC.[Br-],42.8,19
88,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],37.0,20
89,CCCCCCCCCCCCCCCCCC[N+](C)(C)C.[Cl-],37.2,21
90,C1=CC=CC=C1C[N+](C)(C)CCCCCCCCCCCC.[Cl-],38.0,22
91,C1=CC=CC=C1C[N+](C)(C)CCCCCCCCCCCCCC.[Cl-],39.2,22
92,C1(=CC=CC(=C1)C[N+](C)(C)CCCCCCCCCCCC)OC.[Cl-],40.7,22
93,C1=CC=CC=C1C[N+](C)(C)CCCCCCCCCCCCCCCCCC.[Cl-],40.3,22
94,C1(=CC=CC(=C1)C[N+](C)(C)CCCCCCCCCCCCCC)OC.[Cl-],41.8,22
95,C1(=CC=CC(=C1)C[N+](C)(C)CCCCCCCCCCCCCCCC)OC.[Cl-],42.1,22
96,C1(=CC=CC(=C1)C[N+](C)(C)CCCCCCCCCCCCCCCCCC)OC.[Cl-],42.5,22
97,[N+](C)(C)(CCCCCCCCCCCCCCCC)CCOCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-],37.0,23
98,[N+](C)(C)(CCCCCCCCCCCCCC)CCOCC[N+](C)(C)CCCCCCCCCCCCCC.[Br-].[Br-],39.0,23
99,[N+](C)(C)(CCCCCCCCCCCC)CCOCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],40.0,23
100,[N+](C)(C)(CCCCCCCCCCCCCCCCCC)CCOCC[N+](C)(C)CCCCCCCCCCCCCCCCCC.[Br-].[Br-],40.0,23
101,CCCCCCCCCCCCCC[N]1C=C[N+](=C1)C.[Cl-],37.5,24
102,CCCCCCCCCCCCCCCC[N]1C=C[N+](=C1)C.[Cl-],37.0,24
103,CCCCCCCCCCCCCC[N]1C=C[N+](=C1)C.[Br-],39.2,24
104,CCCCCCCCCCCCCCCC[N]1C=C[N+](=C1)C.[Br-],39.1,24
105,CCCCCCCCCCCC[N]1C=C[N+](=C1)C.[Cl-],38.7,24
106,C1=CC=C(C=[N+]1CCCCC[N+]2=CC=CC(=C2)OCCCCCCCCCCCC)OCCCCCCCCCCCC.[Br-].[Br-],37.3,25
107,C1=CC=C(C=[N+]1CCCCCC[N+]2=CC=CC(=C2)OCCCCCCCCCCCC)OCCCCCCCCCCCC.[Br-].[Br-],37.8,25
108,C1=CC=C(C=[N+]1CCCC[N+]2=CC=CC(=C2)OCCCCCCCCCCCC)OCCCCCCCCCCCC.[Br-].[Br-],38.8,25
109,C1=CC=C(C=[N+]1CCCCC[N+]2=CC=CC(=C2)OCCCCCCCCCCCCCC)OCCCCCCCCCCCCCC.[Br-].[Br-],39.6,25
110,C1=CC=C(C=[N+]1CCCCCC[N+]2=CC=CC(=C2)OCCCCCCCCCCCCCC)OCCCCCCCCCCCCCC.[Br-].[Br-],40.5,25
111,C1=CC=C(C=[N+]1CCCC[N+]2=CC=CC(=C2)OCCCCCCCCCCCCCC)OCCCCCCCCCCCCCC.[Br-].[Br-],41.6,25
112,CCCCCCCCCCCCCCCC[N+](CC)(CC)CCO.[Br-],38.6,26
113,CCCCCCCCCCCCN1C=C[N+](=C1)C.[Br-],39.5,27
114,CCCCCCCCCCN1C=C[N+](=C1)C.[Br-],40.0,27
115,[N+]1(=CC=C(C=C1)CCCCCCCCCCCC)C2C(O)C(O)C(O)C(O2)CO.[Br-],39.2,28
116,[N+]1(=CC=C(C=C1)CCCCCCCCCCCC)C.[Br-],39.7,28
117,[N+]1(=CC=C(C=C1)C)CCCCCCCCCCCC.[Br-],40.7,28
118,[N+]1(=C2C(=C(C=C1)C)C=CC=C2)CCCCCCCCCCCC.[Br-],42.3,28
119,CCCCCCCCCCCC(=O)NCCC[N+](C)(C)CC(O)CO.[Cl-],40.0,29
120,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Cl-],41.0,30
121,CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1.[Cl-],42.0,31
122,CCCCCCCCCCCCCC[N+]1=CC=C(C=C1)C(=O)NCCCCCCNC(=O)C2=CC=[N+](C=C2)CCCCCCCCCCCCCC.[Br-].[Br-],43.0,32
123,CCCCCCCCCCCC[N+]1=CC=C(C=C1)C(=O)NCCCCCCNC(=O)C2=CC=[N+](C=C2)CCCCCCCCCCCC.[Br-].[Br-],44.5,32
124,C1=C(C(=CC=C1)CO)C[N+](C)(C)CCCCCCCCCCCC.[Cl-],42.0,33
125,C1=C(C(=CC=C1)CO)C[N+](C)(C)CCCCCCCCCCCCCC.[Cl-],42.0,33
126,C1=C(C(=CC=C1)CO)C[N+](C)(C)CCCCCCCCCCCCCCCC.[Cl-],42.3,33
127,C1=C(C(=CC=C1)CO)C[N+](C)(C)CCCCCCCCCCCCCCCCCC.[Cl-],43.2,33
128,C(CCCCCCCCCCCCC[N+](CCC)(CCC)CCC)CC.[Br-],43.5,34
129,[N+](CC)(CC)(CC(=O)NCCNC(=O)C[N+](CC)(CC)CCCCCCCCCC)CCCCCCCCCC.[Cl-].[Cl-],45.6,35
130,[N+](CC)(CC)(CC(=O)NCCNC(=O)C[N+](CC)(CC)CCCCCCCCCCCC)CCCCCCCCCCCC.[Cl-].[Cl-],46.1,35
131,[N+](CC)(CC)(CC(=O)NCCNC(=O)C[N+](CC)(CC)CCCCCCCCCCCCCC)CCCCCCCCCCCCCC.[Cl-].[Cl-],47.2,35
132,[N+]1(=C2C(=C(C=C1)C)C=CC=C2)CCCCCCCCCCCC.[Cl-],47.2,36
133,[N+](CC(C[N+](C)(C)CCCCCCCCCC)O)(C)(C)CCCCCCCCCC.[Cl-].[Cl-],36.5,37
134,[N+](CC(C[N+](C)(C)CCCCCCCCCCCC)O)(C)(C)CCCCCCCCCCCC.[Cl-].[Cl-],37.0,37
135,[N+](CC(C[N+](C)(C)CCCCCCCCCCCCCC)O)(C)(C)CCCCCCCCCCCCCC.[Cl-].[Cl-],39.0,37
136,[N+](CC(C[N+](C)(C)CCCCCCCCCCCCCCCC)O)(C)(C)CCCCCCCCCCCCCCCC.[Cl-].[Cl-],42.2,37
137,C(CC[N+](C)(C)CCCCCCCCCCCCCC)[N+](C)(C)CCCCCCCCCCCCCC.[Cl-].[Cl-],41.8,37
138,C(CC[N+](C)(C)CCCCCCCCCCCCCCCC)[N+](C)(C)CCCCCCCCCCCCCCCC.[Cl-].[Cl-],42.0,37
139,C(CC(O)C[N+](C)(C)CCCCCCCCCCCC)[N+](C)(C)CCCCCCCCCCCC.[Cl-].[Cl-],40.9,37
140,CCCCCCCCCCCC[N+](CC[N+](CCCCCCCCCCCC)CCCCCCCCCCCC)CCCCCCCCCCCC.[Br-].[Br-],33.9,38
141,CCCCCCCCCCCC[N+](CCC[N+](CCCCCCCCCCCC)CCCCCCCCCCCC)CCCCCCCCCCCC.[Br-].[Br-],32.9,38
142,CCCCCCCCCCCC[N+](CCCCCC[N+](CCCCCCCCCCCC)CCCCCCCCCCCC)CCCCCCCCCCCC.[Br-].[Br-],30.9,38
143,CCCCCCCCC[N+]CCO.[Br-],30.0,39
144,CCCCCCCCC[N+](CCO)CCO.[Br-],27.9,39
145,CCCCCCCCC[N+](CCO)(CCO)CCO.[Br-],24.1,39
146,CCCCCCCCC[N+]CCO.[I-],30.6,39
147,CCCCCCCCC[N+](CCO)CCO.[I-],28.8,39
148,CCCCCCCCC[N+](CCO)(CCO)CCO.[I-],28.4,39
149,CCCCCCCCCCCC[N+](CC(=O)OCCCOC(=O)C[N+](CCCCCCCCCCCC)(C)C)(C)C.[Cl-].[Cl-],47.9,40
150,CCCCCCCCCCCCCC[N+](CC(=O)OCCCOC(=O)C[N+](CCCCCCCCCCCCCC)(C)C)(C)C.[Cl-].[Cl-],45.5,40
151,CCCCCCCCCCCCCCCC[N+](CC(=O)OCCCOC(=O)C[N+](CCCCCCCCCCCCCCCC)(C)C)(C)C.[Cl-].[Cl-],43.2,40
152,CCCCCCCCCCCC[N+](CC(C[N+](CCCCCCCCCCCC)(C)C)OC(=O)C=C)(C)C.[Br-].[Br-],33.4,41
153,CCCCCCCCCCCCCC[N+](CC(C[N+](CCCCCCCCCCCCCC)(C)C)OC(=O)C=C)(C)C.[Br-].[Br-],31.3,41
154,CCCCCCCCCCCCCCCC[N+](CC(C[N+](CCCCCCCCCCCCCCCC)(C)C)OC(=O)C=C)(C)C.[Br-].[Br-],32.5,41
155,C(C[N+](CCCCCCCCCCCC)(C)C)OC(=O)C=C.[Br-],43.1,41
156,C(C[N+](CCCCCCCCCCCCCC)(C)C)OC(=O)C=C.[Br-],42.8,41
157,C(C[N+](CCCCCCCCCCCCCCCC)(C)C)OC(=O)C=C.[Br-],43.2,41
158,CCCCCCCCCCC(=O)OCC[N+](CC(O)C[N+](CCOC(=O)CCCCCCCCCC)(C)C)(C)C.[Cl-].[Cl-],30.0,42
159,CCCCCCCCCCCCC(=O)OCC[N+](CC(O)C[N+](CCOC(=O)CCCCCCCCCCCC)(C)C)(C)C.[Cl-].[Cl-],32.0,42
160,CCCCCCCCCCCCCCC(=O)OCC[N+](CC(O)C[N+](CCOC(=O)CCCCCCCCCCCCCC)(C)C)(C)C.[Cl-].[Cl-],30.0,42
161,CCCCCCCCCCC(=O)OCCCC[N+](CC(O)C[N+](CCCCOC(=O)CCCCCCCCCC)(C)C)(C)C.[Cl-].[Cl-],34.0,42
162,CCCCCCCCC(=O)OCCCCCC[N+](CC(O)C[N+](CCCCCCOC(=O)CCCCCCCC)(C)C)(C)C.[Cl-].[Cl-],34.0,42
163,CCCCCCCCCCCCC(=O)OCC[N+](C)(C)C.[Cl-],30.0,42
164,CCCCCCCCCCCCC(=O)NCC[N+](CC(O)C[N+](CCNC(=O)CCCCCCCCCCCC)(C)C)(C)C.[Cl-].[Cl-],33.0,42
165,CCCCCCCCCCCCC(=O)NCC[N+](C)(C)C.[Cl-],35.0,42
166,CCCCCCCCCC1=CC=C(C=C1)OCC(C[N+](C)(C)C)O.[Br-],29.5,43
167,CCCCCCCCCCCC[N+](C)(CC[N+](CCCCCCCCCCCC)(C)C)C.[Br-].[Br-],31.5,44
168,CCCCCCCCCCCC[N+](C)(C)CCNC(=O)CCN(CCC(NCC[N+](CCCCCCCCCCCC)(C)C)=O)CCN(CCC(NCC[N+](CCCCCCCCCCCC)(C)C)=O)CCC(NCC[N+](CCCCCCCCCCCC)(C)C)=O.[Br-].[Br-].[Br-].[Br-],47.6,45
169,CCCCCCCCCCCCOCC(O)C[N]1C=C[N+](=C1)CC[N+]2=C[N](CC(COCCCCCCCCCCCC)O)C=C2.[Br-].[Br-],30.0,46
170,CCCCCCCCCCCCOCC(O)C[N]1C=C[N+](=C1)CCC[N+]2=C[N](CC(COCCCCCCCCCCCC)O)C=C2.[Br-].[Br-],36.1,46
171,CCCCCCCCCCCCCCOCC(O)C[N]1C=C[N+](=C1)CC[N+]2=C[N](CC(COCCCCCCCCCCCCCC)O)C=C2.[Br-].[Br-],43.5,46
172,CCCCCCCCCCCCCCOCC(O)C[N]1C=C[N+](=C1)CCC[N+]2=C[N](CC(COCCCCCCCCCCCCCC)O)C=C2.[Br-].[Br-],44.5,46
173,CCCCCCCCCCCCCCCCOCC(O)C[N]1C=C[N+](=C1)CC[N+]2=C[N](CC(COCCCCCCCCCCCCCCCC)O)C=C2.[Br-].[Br-],48.1,46
174,CCCCCCCCCCCCCCCCOCC(O)C[N]1C=C[N+](=C1)CCC[N+]2=C[N](CC(COCCCCCCCCCCCCCCCC)O)C=C2.[Br-].[Br-],50.1,46
175,CCCCCCCCCCCC[N+](C)(C)CC(O)COC1=CC=C(C=C1)OCC(C[N+](CCCCCCCCCCCC)(C)C)O.[Cl-].[Cl-],40.2,47
176,CCCCCCCCCCCCCC[N+](C)(C)CC(O)COC1=CC=C(C=C1)OCC(C[N+](CCCCCCCCCCCCCC)(C)C)O.[Cl-].[Cl-],41.1,47
177,CCCCCCCCCCCCCCCC[N+](C)(C)CC(O)COC1=CC=C(C=C1)OCC(C[N+](CCCCCCCCCCCCCCCC)(C)C)O.[Cl-].[Cl-],43.3,47
178,CCCCCCCCCCCC[N+](CCO)(CCO)CCCC[N+](CCO)(CCO)CCCCCCCCCCCC.[Br-].[Br-],35.6,48
179,CCCCCCCCCCCC[N+](CCO)(CCO)CCCCCC[N+](CCO)(CCO)CCCCCCCCCCCC.[Br-].[Br-],36.3,48
180,CCCCCCCCCCCC[N+](CCO)(CCO)CCCCCCCC[N+](CCO)(CCO)CCCCCCCCCCCC.[Br-].[Br-],36.0,48
181,CCCCCCCCCCCC[N+](CCO)(CCO)CCCCCCCCCC[N+](CCO)(CCO)CCCCCCCCCCCC.[Br-].[Br-],36.3,48
182,CCCCCCCCCCCC[N+]1(CCCC1=NCCC2=CC=CC=C2)C.[Br-],33.1,49
183,CCCCCCCCCCCC[N+]1(CCCC1=NCCO)C.[Br-],33.9,49
184,CCCCCCCCCCCC[N+]1(CCCC1=NC2=CC=C(C=C2)O)C.[Br-],29.0,49
185,CCCCCCCCCC[N+](CCC)(CCC)CCCC[N+](CCC)(CCC)CCCCCCCCCC.[Br-].[Br-],38.5,50
186,CCCCCCCCCCCC[N+](CCC)(CCC)CCCC[N+](CCC)(CCC)CCCCCCCCCCCC.[Br-].[Br-],38.6,50
187,CCCCCCCCCCCCCC[N+](CCC)(CCC)CCCC[N+](CCC)(CCC)CCCCCCCCCCCCCC.[Br-].[Br-],41.0,50
188,CCCCCCCCCCCCCCCC[N+](CCC)(CCC)CCCC[N+](CCC)(CCC)CCCCCCCCCCCCCCCC.[Br-].[Br-],48.5,50
189,C1=CC(=C(C2=C1C=CC=[N+]2CC(=O)OCCCCCCCCCCCC)O)CN3CCCCC3.[Br-],43.0,51
190,C1=CC(=C(C2=C1C=CC=[N+]2CC(=O)OCCCCCCCCCCCCCCCC)O)CN3CCCCC3.[Br-],42.5,51
191,C1=CC(=C(C2=C1C=CC=[N+]2CC(=O)OCCCCCCCCCCCCCCCCCC)O)CN3CCCCC3.[Br-],39.0,51
192,C1=CC(=C(C2=C1C=CC=[N+]2CC(=O)OCCCCCCCCCCCC)O)CN3CCOCC3.[Br-],43.5,51
193,C1=CC(=C(C2=C1C=CC=[N+]2CC(=O)OCCCCCCCCCCCCCCCC)O)CN3CCOCC3.[Br-],45.0,51
194,C1=CC(=C(C2=C1C=CC=[N+]2CC(=O)OCCCCCCCCCCCCCCCCCC)O)CN3CCOCC3.[Br-],47.5,51
195,CCCCCCCCC(=O)NCCC[N+](C)(C)CC(O)C[N+](C)(C)CCCNC(=O)CCCCCCCC.[Cl-].[Cl-],32.3,52
196,CCCCCCCCCCCCC(=O)NCCC[N+](C)(C)CC(O)C[N+](C)(C)CCCNC(=O)CCCCCCCCCCCC.[Cl-].[Cl-],34.8,52
197,CCCCCCCCCCCCCCCCC(=O)NCCC[N+](C)(C)CC(O)C[N+](C)(C)CCCNC(=O)CCCCCCCCCCCCCCCC.[Cl-].[Cl-],37.5,52
198,CCCCCCCCCCCCOCC(O)C[N+](C)(C)CC(O)COCCCCCCCCCCCC.CO[S](=O)(=O)[O-],28.9,53
199,CCCCCCCCCCCCOCC(O)C[N+](C)(C)CC(C[N+](C)(C)CC(O)COCCCCCCCCCCCC)O.[Cl-].[Cl-],31.3,53
200,CCCCCCCCCCCCOCC(O)C[N+](C)(C)CC(O)C[N+](CC(C[N+](C)(C)CC(O)COCCCCCCCCCCCC)O)(C)C.[Cl-].[Cl-].CO[S](=O)(=O)[O-],32.6,53
201,C1=CC=CC2=C1SC(=[N+]2CC(=O)OCCCCCCCCCCCC)N=CC3=CC=CC=C3.[Br-],44.4,54
202,C1=CC=CC2=C1SC(=[N+]2CC(=O)OCCCCCCCCCCCCCC)N=CC3=CC=CC=C3.[Br-],42.3,54
203,C1=CC=CC2=C1SC(=[N+]2CC(=O)OCCCCCCCCCCCCCCCC)N=CC3=CC=CC=C3.[Br-],40.4,54
204,C1=CC=CC2=C1SC(=[N+]2CC(=O)OCCCCCCCCCCCCCCCCCC)N=CC3=CC=CC=C3.[Br-],36.7,54
205,C1=CC=CC2=C1SC(=[N+]2CC(=O)OCCCCCCCCCCCC)N=CC3=CC=C(C=C3)OC.[Br-],45.2,54
206,C1=CC=CC2=C1SC(=[N+]2CC(=O)OCCCCCCCCCCCCCC)N=CC3=CC=C(C=C3)OC.[Br-],42.1,54
