Number,SMILES,STCMC (mN/m),Reference
386,C1=CC=CC(=C1)C(C(C)[N+](C)(CCCCCCCCCCCC)C)O.[Br-],31.8,97
387,C1=CC=CC(=C1)C=NC2=CC=[N+](C=C2)CC[N+]4=CC=C(N=CC3=CC=CC=C3)C=C4.[Br-].[Br-],50.0,98
388,C1=CC=CC(=C1)C=NC2=CC=[N+](C=C2)CCCCCC[N+]4=CC=C(N=CC3=CC=CC=C3)C=C4.[Br-].[Br-],47.0,98
389,C1=CC=CC(=C1)C=NC2=CC=[N+](C=C2)CCCCCCCCCCCC[N+]4=CC=C(N=CC3=CC=CC=C3)C=C4.[Br-].[Br-],41.0,98
390,CCCCCCCCCCCC[N+](C)(C)CC(=O)OCCOCCOCCOC(=O)C[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],30.9,99
391,CCCCCCCCCCCC[N+](C)(C)CC(=O)OCCOCCOC(=O)C[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],30.7,99
392,CCCCCCCCCCCC[N+](C)(C)CC(=O)OCCOC(=O)C[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],29.1,99
393,CCCCCCCCCCCC[N+](C)(C)CCOC(C(OCC[N+](C)(C)CCCCCCCCCCCC)=O)=O.[Br-].[Br-],24.9,100
394,CCCCCCCCCCCCCCCCCC[N+](C)(C)CC(O)C[N+](C)(C)CCCCCCCCCCCCCCCCCC.[Cl-].[Cl-],36.4,101
395,CCCCCCCCCCCCOCC[N+](C)(C)C.[Br-],41.0,102
396,CCCCCCCCCCCCOCCOCC[N+](C)(C)C.[Br-],42.6,102
397,CCCCCCCCCCCCOCCOCCOCC[N+](C)(C)C.[Br-],44.5,102
398,CCCCCCCCCCOCCOCC[N+](C)(C)C.[Br-],44.0,102
399,CCCCCCCCCCCCCCOCCOCC[N+](C)(C)C.[Br-],44.3,102
400,CCCCCCCCCCCCCCCCOCCOCC[N+](C)(C)C.[Br-],44.6,102
401,CCCCCCCCCCCCOCC(OCCO)C[N+](C)(C)CC(OCCO)COCCCCCCCCCCCC.CO[S](=O)(=O)[O-],28.6,103
402,CCCCCCCCCCCCOCC(OCCOCCO)C[N+](C)(C)CC(OCCOCCOCCO)COCCCCCCCCCCCC.CO[S](=O)(=O)[O-],32.2,103
403,CCCCCCCCCCCCC(=O)OCC[N+](C)(C)CCCC[N+](CCOC(CCCCCCCCCCCC)=O)(C)C.[Cl-].[Cl-],34.0,104
404,CCCCCCCCCCCC[N+](CCCC[N+](CCCCCCCCCCCC)(C)C)(C)C.[Cl-].[Cl-],41.0,105
405,CCCCCCCCCC[N+](CCCC[N+](CCCCCCCCCC)(C)C)(C)C.[Cl-].[Cl-],40.0,105
406,CCCCCCCCCCCCCC[N+](CCCC[N+](CCCCCCCCCCCCCC)(C)C)(C)C.[Cl-].[Cl-],42.0,105
407,CCCCCCCCCCCCCCCC[N+](CCCC[N+](CCCCCCCCCCCCCCCC)(C)C)(C)C.[Cl-].[Cl-],43.0,105
408,CCCCCCCCCCCC[N+](C)(C)CC(O)COC(=O)CCCCC(OCC(C[N+](CCCCCCCCCCCC)(C)C)O)=O.[Cl-].[Cl-],31.4,106
409,C1=C[N](C=[N+]1CCCCCCCCCCCCCC)C.[Br-],40.0,107
410,C1=C[N](C=[N+]1CCCCCCCCCCCCCCCC)C.[Br-],38.0,107
411,C1=C[N](C=[N+]1CCCCCCCCCCCCCCCCCC)C.[Br-],40.5,107
412,CCCCCCCCCCCCCCCC(=O)NCCC[N+](C)(C)CCOC1C(C(C(C(CO)O1)O)O)O.[Cl-],51.5,108
413,CCCCCCCCCCCCCCCCCC(=O)NCCC[N+](C)(C)CCOC1C(C(C(C(CO)O1)O)O)O.[Cl-],47.8,108
414,CCCCCCCCCCCCCCCC(=O)NCCC[N+](C)(C)CC(O)COC1C(C(C(C(CO)O1)O)O)O.[Cl-],46.1,108
415,CCCCCCCCCCCCCCCCCC(=O)NCCC[N+](C)(C)CC(O)COC1C(C(C(C(CO)O1)O)O)O.[Cl-],35.9,108
416,C1=[N+](C=CC=C1COC(=O)CC(C(OCC2=CC=C[N+](=C2)CCCCCC)=O)(CC(OCC3=CC=C[N+](=C3)CCCCCC)=O)O)CCCCCC.[Br-].[Br-].[Br-],32.5,109
417,C1=[N+](C=CC=C1COC(=O)CC(C(OCC2=CC=C[N+](=C2)CCCCCCCCCCCC)=O)(CC(OCC3=CC=C[N+](=C3)CCCCCCCCCCCC)=O)O)CCCCCCCCCCCC.[Br-].[Br-].[Br-],30.1,109
418,C1=[N+](C=CC=C1COC(=O)CC(C(OCC2=CC=C[N+](=C2)CCCCCCCCCCCCCCCCCC)=O)(CC(OCC3=CC=C[N+](=C3)CCCCCCCCCCCCCCCCCC)=O)O)CCCCCCCCCCCCCCCCCC.[Br-].[Br-].[Br-],27.5,109
419,CCCCCCCCCCOC(=O)C(C)[N+](C)(CC[N+](C(C(OCCCCCCCCCC)=O)C)(C)C)C.[Br-].[Br-],28.5,110
420,CCCCCCCCCCCCOC(=O)C(C)[N+](C)(CC[N+](C(C(OCCCCCCCCCCCC)=O)C)(C)C)C.[Br-].[Br-],32.0,110
421,CCCCCCCCCCCCOCC(O)C[N+](C)(C)CCCC[N+](CC(COCCCCCCCCCCCC)O)(C)C.[Br-].[Br-],36.4,111
422,CCCCCCCCCCCCCCOCC(O)C[N+](C)(C)CCCC[N+](CC(COCCCCCCCCCCCCCC)O)(C)C.[Br-].[Br-],37.4,111
423,CCCCCCCCCCCCCCCCOCC(O)C[N+](C)(C)CCCC[N+](CC(COCCCCCCCCCCCCCCCC)O)(C)C.[Br-].[Br-],39.2,111
424,CCCCCCCCCCCC[N+](C)(C)CCCCCCCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],42.8,112
425,CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],41.5,112
426,CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],39.5,112
427,CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],39.4,112
428,CCCCCCC(=O)OC(C)C(=O)NCCC[N+](C)(C)C.CO[S](=O)(=O)[O-],40.4,113
429,CCCCCCCC(=O)OC(C)C(=O)NCCC[N+](C)(C)C.CO[S](=O)(=O)[O-],37.8,113
430,CCCCCCCCC(=O)OC(C)C(=O)NCCC[N+](C)(C)C.CO[S](=O)(=O)[O-],37.3,113
431,CCCCCCCCCC(=O)OC(C)C(=O)NCCC[N+](C)(C)C.CO[S](=O)(=O)[O-],25.4,113
432,CCCCCCCCCCC(=O)OC(C)C(=O)NCCC[N+](C)(C)C.CO[S](=O)(=O)[O-],25.2,113
433,CCCCCCCCCCCC(=O)OC(C)C(=O)NCCC[N+](C)(C)C.CO[S](=O)(=O)[O-],24.2,113
434,CCCCCCCCCCCCCC(=O)OC(C)C(=O)NCCC[N+](C)(C)C.CO[S](=O)(=O)[O-],26.4,113
435,CCCCCCCCCCCCCCCC(=O)OC(C)C(=O)NCCC[N+](C)(C)C.CO[S](=O)(=O)[O-],31.7,113
436,CCCCCCCCCCCCCCCCCC(=O)OC(C)C(=O)NCCC[N+](C)(C)C.CO[S](=O)(=O)[O-],35.8,113
437,CCCCCCCCOC(=O)C[N+](CC[N+](CC(OCCCCCCCC)=O)(C)C)(C)C.[Cl-].[Cl-],43.0,114
438,CCCCCCCCC[N+](CC(O)C)CCCCCC[N+](CCCCCCCCC)CC(O)C.[Br-].[Br-],42.2,115
439,CCCCCCCCCC[N+](CC(O)C)CCCCCC[N+](CCCCCCCCCC)CC(O)C.[Br-].[Br-],38.0,115
440,CCCCCCCCCCCC[N+](CC(O)C)CCCCCC[N+](CCCCCCCCCCCC)CC(O)C.[Br-].[Br-],36.0,115
441,CCCCCCCCCCCCCC[N+](CC(O)C)CCCCCC[N+](CCCCCCCCCCCCCC)CC(O)C.[Br-].[Br-],35.5,115
442,CCCCCCCCC[N+](CC(O)C)(CC(O)C)CCCCCC[N+](CCCCCCCCC)(CC(O)C)CC(O)C.[Br-].[Br-],34.9,115
443,CCCCCCCCCC[N+](CC(O)C)(CC(O)C)CCCCCC[N+](CCCCCCCCCC)(CC(O)C)CC(O)C.[Br-].[Br-],34.1,115
444,CCCCCCCCCCCC[N+](CC(O)C)(CC(O)C)CCCCCC[N+](CCCCCCCCCCCC)(CC(O)C)CC(O)C.[Br-].[Br-],32.7,115
445,CCCCCCCCCCCCCC[N+](CC(O)C)(CC(O)C)CCCCCC[N+](CCCCCCCCCCCCCC)(CC(O)C)CC(O)C.[Br-].[Br-],30.0,115
446,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],32.4,116
447,CCCCCCCCCCCC[N+](C)(C)CCOC(C[N+](CCCCCCCCCCCC)(C)C)=O.[Br-].[Br-],30.8,116
448,CCCCCCCCCC[N+](C)(C)CCCCCCCCCC.[Cl-],27.7,117
449,CCCCCCCCCCCC[N+](C)(C)CC=C.[Br-],39.5,118
450,CCCCCCCCCCCCCCCC[N+](C)(C)CC=C.[Br-],34.0,118
451,CCCCCCCCCCCCCCCCCC[N+](C)(C)CC=C.[Br-],33.2,118
452,CCCCCCCCCCCC(C)[N+](C)(C)CCC[N+](C)(C)C(C)CCCCCCCCCCC.[Br-].[Br-],36.0,119
453,CCCCCCCCCCCC(C)[N+](C)(C)CCCC[N+](C)(C)C(C)CCCCCCCCCCC.[Br-].[Br-],39.4,119
454,CCCCCCCCCCCC(C)[N+](C)(C)CCCCC[N+](C)(C)C(C)CCCCCCCCCCC.[Br-].[Br-],41.0,119
455,CCCCCCCCCCCC(C)[N+](C)(C)CCCCCC[N+](C)(C)C(C)CCCCCCCCCCC.[Br-].[Br-],40.8,119
456,CCCCCCCCCCCC(C)[N+](C)(C)CCCCCCCC[N+](C)(C)C(C)CCCCCCCCCCC.[Br-].[Br-],43.3,119
457,CCCCCCCCCCCC(C)[N+](C)(C)CCCCCCCCCC[N+](C)(C)C(C)CCCCCCCCCCC.[Br-].[Br-],43.3,119
458,CCCCCCCCCCCC(C)[N+](C)(C)CCCCCCCCCCCC[N+](C)(C)C(C)CCCCCCCCCCC.[Br-].[Br-],41.4,119
459,CCCCCCCCCCCC(=O)OCC[N+](C)(C)CC(O)C[N+](C)(C)CCOC(=O)CCCCCCC.[Cl-].[Cl-],30.4,120
460,CCCCCCCCCCCC(=O)OCC[N+](C)(C)CC(O)C[N+](C)(C)CCOC(=O)CCCCCCCCC.[Cl-].[Cl-],36.2,120
461,CCCCCCCCCCCC(=O)OCC[N+](C)(C)CC(O)C[N+](C)(C)CCOC(=O)CCCCCCCCCCCCC.[Cl-].[Cl-],40.0,120
462,CCCCCCCCCCCC(=O)OCC[N+](C)(C)CC(O)C[N+](C)(C)CCOC(=O)CCCCCCCCCCCCCCC.[Cl-].[Cl-],45.2,120
463,C1=[N+](C=CC(=C1)C=NC2=CC=[N+](C=C2)CCCCCCCCCCCC)CCCCCCCCCCCC.[Br-].[Br-],28.7,121
464,CCCCCCCCC(CCCCCCCC)C[N+](C)(C)CCO.[Cl-],25.3,122
465,CCCCCCCCCCOC1=CC=C(C=C1)C[N+]2=C[N](C=C2)C.[Br-],39.0,123
466,CCCCCCCCCCCCOC1=CC=C(C=C1)C[N+]2=C[N](C=C2)C.[Br-],37.9,123
467,CCCCCCCCCCCCCCOC1=CC=C(C=C1)C[N+]2=C[N](C=C2)C.[Br-],35.8,123
468,CCCCCCCCCCCCCCCCOC1=CC=C(C=C1)C[N+]2=C[N](C=C2)C.[Br-],37.9,123
469,CCCCCCCCCCOC1=CC=C(C=C1)C[N+]2=C[N](C=C2)CCC[N]4C=[N+](CC3=CC=C(OCCCCCCCCCC)C=C3)C=C4.[Br-].[Br-],37.2,123
470,CCCCCCCCCCCCOC1=CC=C(C=C1)C[N+]2=C[N](C=C2)CCC[N]4C=[N+](CC3=CC=C(OCCCCCCCCCCCC)C=C3)C=C4.[Br-].[Br-],32.8,123
471,CCCCCCCCCCCCCCOC1=CC=C(C=C1)C[N+]2=C[N](C=C2)CCC[N]4C=[N+](CC3=CC=C(OCCCCCCCCCCCCCC)C=C3)C=C4.[Br-].[Br-],42.6,123
472,CCCCCCCCCCOC1=CC=C(C=C1)C[N+]2=C[N](C=C2)CCCCCC[N]4C=[N+](CC3=CC=C(OCCCCCCCCCC)C=C3)C=C4.[Br-].[Br-],39.8,123
473,CCCCCCCCCCCCOC1=CC=C(C=C1)C[N+]2=C[N](C=C2)CCCCCC[N]4C=[N+](CC3=CC=C(OCCCCCCCCCCCC)C=C3)C=C4.[Br-].[Br-],42.8,123
474,CCCCCCCCCCCCCCOC1=CC=C(C=C1)C[N+]2=C[N](C=C2)CCCCCC[N]4C=[N+](CC3=CC=C(OCCCCCCCCCCCCCC)C=C3)C=C4.[Br-].[Br-],48.7,123
475,C1CCC[N+]1(CCCC[N+]2(CCCC2)CCCCCCCCCC)CCCCCCCCCC.[Br-].[Br-],39.1,124
476,C1CCC[N+]1(CCCC[N+]2(CCCC2)CCCCCCCCCCCC)CCCCCCCCCCCC.[Br-].[Br-],38.1,124
477,C1CCC[N+]1(CCCC[N+]2(CCCC2)CCCCCCCCCCCCCC)CCCCCCCCCCCCCC.[Br-].[Br-],38.0,124
478,C1CCC[N+]1(CCCC[N+]2(CCCC2)CCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCC.[Br-].[Br-],37.6,124
479,OCC(O)CN(CCCCC(C(OC)=O)[N+])CC(COC(=O)CCCCCCCCCCC)O.[Cl-],33.0,125
480,OCC(O)CN(CCCCC(C(OC)=O)[N+])CC(COC(=O)CCCCCCCCCCCCC)O.[Cl-],31.0,125
481,O(CC(O)CN(CCCCC(C(OC)=O)[N+])CC(COC(=O)CCCCCCCCCCC)O)C(=O)CCCCCCCCCCC.[Cl-],24.5,125
482,O(CC(O)CN(CCCCC(C(OC)=O)[N+])CC(COC(=O)CCCCCCCCCCCCC)O)C(=O)CCCCCCCCCCCCC.[Cl-],25.0,125
483,CCCCCCCC[N+](C)(C)CCCNC(=[N+])N(C)C.[Br-].[Br-],35.9,126
484,CCCCCCCCCC[N+](C)(C)CCCNC(=[N+])N(C)C.[Br-].[Br-],33.7,126
485,CCCCCCCCCCCC[N+](C)(C)CCCNC(=[N+])N(C)C.[Br-].[Br-],31.9,126
486,CCCCCCCCCCCCCCCCCC[N+](C)(C)CC(O)COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCCCCCCCCCCC.[Cl-],42.1,127
487,C1CN(CCN1CC(C[N+](C)(C)CCCCCCCCCCCCCCCCCC)O)CC(C[N+](C)(C)CCCCCCCCCCCCCCCCCC)O.[Cl-].[Cl-],40.9,128
488,C1CN(CCN1CC(C[N+](C)(C)CCCCCCCCCCCCCCCC)O)CC(C[N+](C)(C)CCCCCCCCCCCCCCCC)O.[Cl-].[Cl-],36.5,128
489,C1CN(CCN1CC(C[N+](C)(C)CCCCCCCCCCCC)O)CC(C[N+](C)(C)CCCCCCCCCCCC)O.[Cl-].[Cl-],37.6,128
490,CCCCCCCCOCC(C[N+](C)(C)C)(COCCCCCCCC)C[N+](C)(C)C.[I-].[I-],40.9,129
491,CCCCCCCCCCOCC(C[N+](C)(C)C)(COCCCCCCCCCC)C[N+](C)(C)C.[I-].[I-],39.6,129
492,CCCCCCCCCCCCOCC(C[N+](C)(C)C)(COCCCCCCCCCCCC)C[N+](C)(C)C.[I-].[I-],40.8,129
493,CCCCCCCCCCCCCCOCC(C[N+](C)(C)C)(COCCCCCCCCCCCCCC)C[N+](C)(C)C.[I-].[I-],39.1,129
494,CCCCCCCCOCC(CC[N+](C)(C)C)(COCCCCCCCC)CC[N+](C)(C)C.[I-].[I-],32.2,129
495,CCCCCCCCCCOCC(CC[N+](C)(C)C)(COCCCCCCCCCC)CC[N+](C)(C)C.[I-].[I-],32.2,129
496,CCCCCCCCCCCCOCC(CC[N+](C)(C)C)(COCCCCCCCCCCCC)CC[N+](C)(C)C.[I-].[I-],33.5,129
497,CCCCCCCCCCCCCCOCC(CC[N+](C)(C)C)(COCCCCCCCCCCCCCC)CC[N+](C)(C)C.[I-].[I-],23.5,129
498,CCCCCCCCOCC(CCC[N+](C)(C)C)(COCCCCCCCC)CCC[N+](C)(C)C.[I-].[I-],31.4,129
499,CCCCCCCCCCOCC(CCC[N+](C)(C)C)(COCCCCCCCCCC)CCC[N+](C)(C)C.[I-].[I-],32.0,129
500,CCCCCCCCCCCCOCC(CCC[N+](C)(C)C)(COCCCCCCCCCCCC)CCC[N+](C)(C)C.[I-].[I-],33.0,129
501,CCCCCCCCCCCCCCOCC(CCC[N+](C)(C)C)(COCCCCCCCCCCCCCC)CCC[N+](C)(C)C.[I-].[I-],33.0,129
502,CCCCCCCCOCC(COCC[N+](C)(C)C)(COCCCCCCCC)COCC[N+](C)(C)C.[I-].[I-],31.4,129
503,CCCCCCCCCCOCC(COCC[N+](C)(C)C)(COCCCCCCCCCC)COCC[N+](C)(C)C.[I-].[I-],32.2,129
504,CCCCCCCCCCCCOCC(COCC[N+](C)(C)C)(COCCCCCCCCCCCC)COCC[N+](C)(C)C.[I-].[I-],31.5,129
505,CCCCCCCCCCCCCCOCC(COCC[N+](C)(C)C)(COCCCCCCCCCCCCCC)COCC[N+](C)(C)C.[I-].[I-],32.7,129
506,CCCCCCCCOCC(COCCC[N+](C)(C)C)(COCCCCCCCC)COCCC[N+](C)(C)C.[I-].[I-],36.7,129
507,CCCCCCCCCCOCC(COCCC[N+](C)(C)C)(COCCCCCCCCCC)COCCC[N+](C)(C)C.[I-].[I-],35.2,129
508,CCCCCCCCCCCCOCC(COCCC[N+](C)(C)C)(COCCCCCCCCCCCC)COCCC[N+](C)(C)C.[I-].[I-],34.3,129
509,CCCCCCCCCCCCCCOCC(COCCC[N+](C)(C)C)(COCCCCCCCCCCCCCC)COCCC[N+](C)(C)C.[I-].[I-],35.0,129
510,CCCCCCCCCCCC[N+](C)(C)C.[Br-],35.8,129
511,CCCCCCCCCCCC[N+](C)(C)CC(OC(O)C=C)C[N+](C)(C)CCCCCCCCCCCC.[Cl-].[Cl-],31.6,130
512,CC[N+](C)(CC)C1=CC=C(C=C1)C=NCCCCCCCCCCCC.[I-],44.8,131
513,CC[N+](C)(CC)C1=CC=C(C=C1)C=NCCCCCCCCCCCCCC.[I-],40.8,131
514,CC[N+](C)(CC)C1=CC=C(C=C1)C=NCCCCCCCCCCCCCCCC.[I-],33.0,131
515,CC[N+](C)(CC)C1=CC=C(C=C1)C=NCCCCCCCCCCCCCCCCCC.[I-],36.8,131
516,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],40.5,132
517,CCCCCCCC[N+](C)(C)CCCN(CCCCCCCC)C(N(C)C)=[N+].[Cl-].[Cl-],28.1,132
518,CCCCCCCCCC[N+](C)(C)CCCN(CCCCCCCCCC)C(N(C)C)=[N+].[Cl-].[Cl-],28.5,132
519,CCCCCCCCCCCC[N+](C)(C)CCCN(CCCCCCCCCCCC)C(N(C)C)=[N+].[Cl-].[Cl-],29.4,132
520,CCCCCCCCCC[N+](C)(C)CCOC(=O)CCC(OCC[N+](CCCCCCCCCC)(C)C)=O.[Cl-].[Cl-],39.6,133
521,CCCCCCCCCCCC[N+](C)(C)CCOC(=O)CCC(OCC[N+](CCCCCCCCCCCC)(C)C)=O.[Cl-].[Cl-],34.9,133
522,CCCCCCCCCCCCCC[N+](C)(C)CCOC(=O)CCC(OCC[N+](CCCCCCCCCCCCCC)(C)C)=O.[Cl-].[Cl-],32.8,133
523,CCCCCCCCCCCCCCCC[N+](C)(C)CCOC(=O)CCC(OCC[N+](CCCCCCCCCCCCCCCC)(C)C)=O.[Cl-].[Cl-],36.7,133
524,CCCCCCCCCCCCCCCCCC[N+](C)(C)CCOC(=O)CCC(OCC[N+](CCCCCCCCCCCCCCCCCC)(C)C)=O.[Cl-].[Cl-],32.7,133
525,CCCCCCCCCC[N+](C)(C)CCOC(=O)CCCCCCC(OCC[N+](CCCCCCCCCC)(C)C)=O.[Cl-].[Cl-],32.0,133
526,CCCCCCCCCCCC[N+](C)(C)CCOC(=O)CCCCCCC(OCC[N+](CCCCCCCCCCCC)(C)C)=O.[Cl-].[Cl-],39.2,133
527,CCCCCCCCCCCCCC[N+](C)(C)CCOC(=O)CCCCCCC(OCC[N+](CCCCCCCCCCCCCC)(C)C)=O.[Cl-].[Cl-],32.6,133
528,CCCCCCCCCCCCCCCC[N+](C)(C)CCOC(=O)CCCCCCC(OCC[N+](CCCCCCCCCCCCCCCC)(C)C)=O.[Cl-].[Cl-],30.6,133
529,CCCCCCCCCCCCCCCCCC[N+](C)(C)CCOC(=O)CCCCCCC(OCC[N+](CCCCCCCCCCCCCCCCCC)(C)C)=O.[Cl-].[Cl-],33.2,133
530,[N+]1(=C(NCC1)CCCCCCCCCCC)CCO.C(=O)(O)[O-],29.0,134
531,[N+]1(=C(NCC1)CCCCCCCCCCCCC)CCO.C(=O)(O)[O-],28.1,134
532,[N+]1(=C(NCC1)CCCCCCCCCCCCCCC)CCO.C(=O)(O)[O-],36.4,134
533,[N+]1(=C(NCC1)CCCCCCCCCCCCCCCCC)CCO.C(=O)(O)[O-],33.1,134
534,CCCCCCCCCC[N+]CCO.[Br-],33.0,135
535,CCCCCCCCCC[N+](CCO)CCO.[Br-],29.0,135
536,CCCCCCCCCC[N+](CCO)(CCO)CCO.[Br-],28.9,135
537,CCCCCCCCCC[N+](C)CCO.[Br-],27.5,135
538,CCCCCCCCCC[N+](C)(C)CCCN=CCCC.[Br-],31.7,136
539,CCCCCCCCCCCC[N+](C)(C)CCCN=CCCC.[Br-],30.0,136
540,CCCCCCCCCCCCCCCC[N+](C)(C)CCCN=CCCC.[Br-],37.5,136
541,[N]1(C=[N+](C=C1)CCC[N+]2=C[N](C=C2)CC(CCCCCCCCCC)O)CC(CCCCCCCCCC)O.[Br-].[Br-],30.0,137
542,[N]1(C=[N+](C=C1)CCCC[N+]2=C[N](C=C2)CC(CCCCCCCCCC)O)CC(CCCCCCCCCC)O.[Br-].[Br-],28.1,137
543,[N]1(C=[N+](C=C1)CCCCC[N+]2=C[N](C=C2)CC(CCCCCCCCCC)O)CC(CCCCCCCCCC)O.[Br-].[Br-],32.9,137
544,[N]1(C=[N+](C=C1)CCCCCC[N+]2=C[N](C=C2)CC(CCCCCCCCCC)O)CC(CCCCCCCCCC)O.[Br-].[Br-],35.2,137
545,[N]1(C=[N+](C=C1)CCCCCCCC[N+]2=C[N](C=C2)CC(CCCCCCCCCC)O)CC(CCCCCCCCCC)O.[Br-].[Br-],37.6,137
546,N1(CCOCC1)C(=O)CCC(=O)N[N+](C)(C)CCCCCCCCCCCC.[I-],40.2,138
547,N1(CCOCC1)C(=O)CCC(=O)N[N+](C)(C)CCCCCCCCCCCCCC.[I-],38.1,138
548,N1(CCOCC1)C(=O)CCC(=O)N[N+](C)(C)CCCCCCCCCCCCCCCC.[I-],36.5,138
549,N1(CCCCC1)C(=O)CCC(=O)N[N+](C)(C)CCCCCCCCCCCC.[I-],38.9,138
550,N1(CCCCC1)C(=O)CCC(=O)N[N+](C)(C)CCCCCCCCCCCCCC.[I-],36.5,138
551,N1(CCCCC1)C(=O)CCC(=O)N[N+](C)(C)CCCCCCCCCCCCCCCC.[I-],34.6,138
552,CCCCCCCCCC[N+](C)(C)CCOC1=CC=C(C=C1)C=NNC(=O)C(NN=CC2=CC=C(OCC[N+](CCCCCCCCCC)(C)C)C=C2)=O.[Cl-].[Cl-],41.4,139
553,CCCCCCCCCCCC[N+](C)(C)CCOC1=CC=C(C=C1)C=NNC(=O)C(NN=CC2=CC=C(OCC[N+](CCCCCCCCCCCC)(C)C)C=C2)=O.[Cl-].[Cl-],32.6,139
554,CCCCCCCCCCCCCC[N+](C)(C)CCOC1=CC=C(C=C1)C=NNC(=O)C(NN=CC2=CC=C(OCC[N+](CCCCCCCCCCCCCC)(C)C)C=C2)=O.[Cl-].[Cl-],32.5,139
555,CCCCCCCCCCCCCCCC[N+](C)(C)CCOC1=CC=C(C=C1)C=NNC(=O)C(NN=CC2=CC=C(OCC[N+](CCCCCCCCCCCCCCCC)(C)C)C=C2)=O.[Cl-].[Cl-],30.9,139
556,CCCCCCCCCCCCCC[N+]1=C[N](C=C1)CCOC(=O)NCCCC.[Br-],44.0,140
557,CCCCCCCCCCCCCCCC[N+]1=C[N](C=C1)CCOC(=O)NCCCC.[Br-],42.0,140
558,CCCCCCCCCCCCCCCCCC[N+]1=C[N](C=C1)CCOC(=O)NCCCC.[Br-],41.5,140
559,[N+]1(CCCC1)(C)CC(=O)OCCCCCCCCCCCCCC.[Cl-],36.5,141
560,[N+]1(CCCC1)(C)CC(=O)OCCCCCCCCCCCCCC.[Br-],32.1,141
561,[N+]1(CCCC1)(C)CC(=O)OCCCCCCCCCCCCCCCC.[Cl-],41.0,141
562,[N+]1(CCCC1)(C)CC(=O)OCCCCCCCCCCCCCCCC.[Br-],37.1,141
563,CCCCCCCCCCCC(=O)NCCC[N+](C)(CC1=CC=C(C=C1)C[N+](CCCNC(CCCCCCCCCCC)=O)(C)C)C.[Cl-].[Cl-],45.9,142
564,CCCCCCCCCCCCCC(=O)NCCC[N+](C)(CC1=CC=C(C=C1)C[N+](CCCNC(CCCCCCCCCCCCC)=O)(C)C)C.[Cl-].[Cl-],46.2,142
565,C1=CC=C[N+](=C1)CCCC.[Cl-],51.1,143
566,C1=CC=C[N+](=C1)CCCCCC.[Cl-],36.4,143
567,C1=CC=C[N+](=C1)CCCCCCCC.[Cl-],36.8,143
568,C1=CC=C([N+](=C1)CCCCCCCC)C.[Cl-],31.8,143
569,C1=CC(=C[N+](=C1)CCCCCCCC)C.[Cl-],32.4,143
570,C1=C(C=C[N+](=C1)CCCCCCCC)C.[Cl-],31.0,143
571,[N+]1(=C[N](C=C1)C)CC(O)COCCCCCCCCCCCC.[Cl-],23.2,144
572,[N+]1(=C[N](C=C1)C)CC(O)COCCCCCCCCCCCCCC.[Cl-],31.1,144
573,[N+]1(=C[N](C=C1)C)CC(O)COCCCCCCCCCCCCCCCC.[Cl-],42.0,144
574,[N+]1(=C[N](C=C1)C)CC(O)COCCCCCCCCCCCC.[Br-],21.9,144
575,[N+]1(=C[N](C=C1)C)CC(O)COCCCCCCCCCCCCCC.[Br-],29.3,144
576,[N+]1(=C[N](C=C1)C)CC(O)COCCCCCCCCCCCCCCCC.[Br-],40.7,144
577,CCCCCCCC[N+](C)(C)CC(O)COCCOCC(C[N+](CCCCCCCC)(C)C)O.[Br-].[Br-],55.2,145
578,CCCCCCCCCC[N+](C)(C)CC(O)COCCOCC(C[N+](CCCCCCCCCC)(C)C)O.[Br-].[Br-],32.6,145
579,CCCCCCCCCCCC[N+](C)(C)CC(O)COCCOCC(C[N+](CCCCCCCCCCCC)(C)C)O.[Br-].[Br-],30.6,145
580,CCCCCCCCCCCCCC[N+](C)(C)CC(O)COCCOCC(C[N+](CCCCCCCCCCCCCC)(C)C)O.[Br-].[Br-],34.5,145
581,CCCCCCCCCCCCCCCC[N+](C)(C)CC(O)COCCOCC(C[N+](CCCCCCCCCCCCCCCC)(C)C)O.[Br-].[Br-],37.0,145
582,CCCCCCCC[N+](C)(C)CC(O)COCCOCCOCC(C[N+](CCCCCCCC)(C)C)O.[Br-].[Br-],49.1,145
583,CCCCCCCCCC[N+](C)(C)CC(O)COCCOCCOCC(C[N+](CCCCCCCCCC)(C)C)O.[Br-].[Br-],47.0,145
