Number,SMILES,AW_ST_CMC/ mN/m,ref,Type_of_surfactant,DOI_1,DOI_2
88,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],37,[20],cationic,10.1016/j.ces.2022.118208,
89,CCCCCCCCCCCCCCCCCC[N+](C)(C)C.[Cl-],37.2,[21],cationic,10.1016/j.ces.2022.118208,
90,C1=CC=CC=C1C[N+](C)(C)CCCCCCCCCCCC.[Cl-],38,[22],cationic,10.1016/j.ces.2022.118208,
91,C1=CC=CC=C1C[N+](C)(C)CCCCCCCCCCCCCC.[Cl-],39.2,[22],cationic,10.1016/j.ces.2022.118208,
92,C1(=CC=CC(=C1)C[N+](C)(C)CCCCCCCCCCCC)OC.[Cl-],40.7,[22],cationic,10.1016/j.ces.2022.118208,
93,C1=CC=CC=C1C[N+](C)(C)CCCCCCCCCCCCCCCCCC.[Cl-],40.3,[22],cationic,10.1016/j.ces.2022.118208,
94,C1(=CC=CC(=C1)C[N+](C)(C)CCCCCCCCCCCCCC)OC.[Cl-],41.8,[22],cationic,10.1016/j.ces.2022.118208,
95,C1(=CC=CC(=C1)C[N+](C)(C)CCCCCCCCCCCCCCCC)OC.[Cl-],42.1,[22],cationic,10.1016/j.ces.2022.118208,
96,C1(=CC=CC(=C1)C[N+](C)(C)CCCCCCCCCCCCCCCCCC)OC.[Cl-],42.5,[22],cationic,10.1016/j.ces.2022.118208,
97,[N+](C)(C)(CCCCCCCCCCCCCCCC)CCOCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-],37,[23],cationic,10.1016/j.ces.2022.118208,
98,[N+](C)(C)(CCCCCCCCCCCCCC)CCOCC[N+](C)(C)CCCCCCCCCCCCCC.[Br-].[Br-],39,[23],cationic,10.1016/j.ces.2022.118208,
99,[N+](C)(C)(CCCCCCCCCCCC)CCOCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],40,[23],cationic,10.1016/j.ces.2022.118208,
100,[N+](C)(C)(CCCCCCCCCCCCCCCCCC)CCOCC[N+](C)(C)CCCCCCCCCCCCCCCCCC.[Br-].[Br-],40,[23],cationic,10.1016/j.ces.2022.118208,
101,CCCCCCCCCCCCCC[N]1C=C[N+](=C1)C.[Cl-],37.5,[24],cationic,10.1016/j.ces.2022.118208,
102,CCCCCCCCCCCCCCCC[N]1C=C[N+](=C1)C.[Cl-],37,[24],cationic,10.1016/j.ces.2022.118208,
103,CCCCCCCCCCCCCC[N]1C=C[N+](=C1)C.[Br-],39.2,[24],cationic,10.1016/j.ces.2022.118208,
104,CCCCCCCCCCCCCCCC[N]1C=C[N+](=C1)C.[Br-],39.1,[24],cationic,10.1016/j.ces.2022.118208,
105,CCCCCCCCCCCC[N]1C=C[N+](=C1)C.[Cl-],38.7,[24],cationic,10.1016/j.ces.2022.118208,
106,C1=CC=C(C=[N+]1CCCCC[N+]2=CC=CC(=C2)OCCCCCCCCCCCC)OCCCCCCCCCCCC.[Br-].[Br-],37.3,[25],cationic,10.1016/j.ces.2022.118208,
107,C1=CC=C(C=[N+]1CCCCCC[N+]2=CC=CC(=C2)OCCCCCCCCCCCC)OCCCCCCCCCCCC.[Br-].[Br-],37.8,[25],cationic,10.1016/j.ces.2022.118208,
108,C1=CC=C(C=[N+]1CCCC[N+]2=CC=CC(=C2)OCCCCCCCCCCCC)OCCCCCCCCCCCC.[Br-].[Br-],38.8,[25],cationic,10.1016/j.ces.2022.118208,
109,C1=CC=C(C=[N+]1CCCCC[N+]2=CC=CC(=C2)OCCCCCCCCCCCCCC)OCCCCCCCCCCCCCC.[Br-].[Br-],39.6,[25],cationic,10.1016/j.ces.2022.118208,
110,C1=CC=C(C=[N+]1CCCCCC[N+]2=CC=CC(=C2)OCCCCCCCCCCCCCC)OCCCCCCCCCCCCCC.[Br-].[Br-],40.5,[25],cationic,10.1016/j.ces.2022.118208,
111,C1=CC=C(C=[N+]1CCCC[N+]2=CC=CC(=C2)OCCCCCCCCCCCCCC)OCCCCCCCCCCCCCC.[Br-].[Br-],41.6,[25],cationic,10.1016/j.ces.2022.118208,
112,CCCCCCCCCCCCCCCC[N+](CC)(CC)CCO.[Br-],38.6,[26],cationic,10.1016/j.ces.2022.118208,
113,CCCCCCCCCCCCN1C=C[N+](=C1)C.[Br-],39.5,[27],cationic,10.1016/j.ces.2022.118208,
114,CCCCCCCCCCN1C=C[N+](=C1)C.[Br-],40,[27],cationic,10.1016/j.ces.2022.118208,
115,[N+]1(=CC=C(C=C1)CCCCCCCCCCCC)C2C(O)C(O)C(O)C(O2)CO.[Br-],39.2,[28],cationic,10.1016/j.ces.2022.118208,
116,[N+]1(=CC=C(C=C1)CCCCCCCCCCCC)C.[Br-],39.7,[28],cationic,10.1016/j.ces.2022.118208,
117,[N+]1(=CC=C(C=C1)C)CCCCCCCCCCCC.[Br-],40.7,[28],cationic,10.1016/j.ces.2022.118208,
