Compound,R,X,CMC/ mol/dm3,γcmc/ mN/m,-(dγ/dlogc)T,Γmax x 10^6/ mol/m2,F x 10^20/ m2,-ΔGm/ kJ/mol,(nCH2)eq,I,source_doi,SMILES,reference_doi,Temp_Celsius,
X,Octyl,NCH3,0.031,,,,,8.5,,,10.1016/0021-9797(86)90417-0,C[N+](C)(CCCCCCCC)CCCN(C)CCC[N+](C)(CCCCCCCC)C.[Br-].[Br-],,20,
XI,Nonyl,NCH3,0.018,,,,,9.8,,,10.1016/0021-9797(86)90417-0,C[N+](C)(CCCCCCCCC)CCCN(C)CCC[N+](C)(CCCCCCCCC)C.[Br-].[Br-],,20,
XII,Decyl,NCH3,0.0084,,,,,9.9,,,10.1016/0021-9797(86)90417-0,C[N+](C)(CCCCCCCCCC)CCCN(C)CCC[N+](C)(CCCCCCCCCC)C.[Br-].[Br-],,20,
XIII,Undecyl,NCH3,0.003,,,,,14.2,,,10.1016/0021-9797(86)90417-0,C[N+](C)(CCCCCCCCCCC)CCCN(C)CCC[N+](C)(CCCCCCCCCCC)C.[Br-].[Br-],,20,
XIV,Dodecyl,NCH3,0.0011,,,,,16.6,,,10.1016/0021-9797(86)90417-0,C[N+](C)(CCCCCCCCCCCC)CCCN(C)CCC[N+](C)(CCCCCCCCCCCC)C.[Br-].[Br-],,20,
XV,Tridecyl,NCH3,0.00033,,,,,19.5,,,10.1016/0021-9797(86)90417-0,C[N+](C)(CCCCCCCCCCCCC)CCCN(C)CCC[N+](C)(CCCCCCCCCCCCC)C.[Br-].[Br-],,20,
XVI,Tetradecyl,NCH3,0.00012,,,,,22.1,,,10.1016/0021-9797(86)90417-0,C[N+](C)(CCCCCCCCCCCCCC)CCCN(C)CCC[N+](C)(CCCCCCCCCCCCCC)C.[Br-].[Br-],,20,
XVII,Pentadecyl,NCH3,4.30E-05,,,,,24.5,,,10.1016/0021-9797(86)90417-0,C[N+](C)(CCCCCCCCCCCCCCC)CCCN(C)CCC[N+](C)(CCCCCCCCCCCCCCC)C.[Br-].[Br-],,20,
XVIII,Hexadecyl,NCH3,1.20E-05,,,,,27.6,,,10.1016/0021-9797(86)90417-0,C[N+](C)(CCCCCCCCCCCCCCCC)CCCN(C)CCC[N+](C)(CCCCCCCCCCCCCCCC)C.[Br-].[Br-],,20,
XIX,Octyl,O,0.044,,,,,7.6,,,10.1016/0021-9797(86)90417-0,C[N+](C)(CCCCCCCC)CCCOCCC[N+](C)(CCCCCCCC)C.[Br-].[Br-],,20,
XX,Nonyl,O,0.022,,,,,9.3,,,10.1016/0021-9797(86)90417-0,C[N+](C)(CCCCCCCCC)CCCOCCC[N+](C)(CCCCCCCCC)C.[Br-].[Br-],,20,
XXI,Decyl,O,0.0077,,,,,11.9,,,10.1016/0021-9797(86)90417-0,C[N+](C)(CCCCCCCCCC)CCCOCCC[N+](C)(CCCCCCCCCC)C.[Br-].[Br-],,20,
XXII,Undecyl,O,0.0026,,,,,14.5,,,10.1016/0021-9797(86)90417-0,C[N+](C)(CCCCCCCCCCC)CCCOCCC[N+](C)(CCCCCCCCCCC)C.[Br-].[Br-],,20,
XXIII,Dodecyl,O,0.001,,,,,16.8,,,10.1016/0021-9797(86)90417-0,C[N+](C)(CCCCCCCCCCCC)CCCOCCC[N+](C)(CCCCCCCCCCCC)C.[Br-].[Br-],,20,
XXIV,Tridecyl,O,0.00038,,,,,19.2,,,10.1016/0021-9797(86)90417-0,C[N+](C)(CCCCCCCCCCCCC)CCCOCCC[N+](C)(CCCCCCCCCCCCC)C.[Br-].[Br-],,20,
XXV,Tetradecyl,O,0.00019,,,,,20.9,,,10.1016/0021-9797(86)90417-0,C[N+](C)(CCCCCCCCCCCCCC)CCCOCCC[N+](C)(CCCCCCCCCCCCCC)C.[Br-].[Br-],,20,
XXVI,Hexadecyl,O,6.40E-05,,,,,29.2,,,10.1016/0021-9797(86)90417-0,C[N+](C)(CCCCCCCCCCCCCCCC)CCCOCCC[N+](C)(CCCCCCCCCCCCCCCC)C.[Br-].[Br-],,20,
XXVII,Hexyl,S,0.13,,,,,5,,,10.1016/0021-9797(86)90417-0,C[N+](C)(CCCCCC)CCCSCCC[N+](C)(CCCCCC)C.[Br-].[Br-],,20,
XXVIII,Octyl,S,0.037,,,,,8.1,,,10.1016/0021-9797(86)90417-0,C[N+](C)(CCCCCCCC)CCCSCCC[N+](C)(CCCCCCCC)C.[Br-].[Br-],,20,
XXIX,Decyl,S,0.0062,,,,,12.4,,,10.1016/0021-9797(86)90417-0,C[N+](C)(CCCCCCCCCC)CCCSCCC[N+](C)(CCCCCCCCCC)C.[Br-].[Br-],,20,
XXX,Dodecyl,S,0.00096,,,,,16.9,,,10.1016/0021-9797(86)90417-0,C[N+](C)(CCCCCCCCCCCC)CCCSCCC[N+](C)(CCCCCCCCCCCC)C.[Br-].[Br-],,20,
XXXI,Tetradecyl,S,0.0001,,,,,22.4,,,10.1016/0021-9797(86)90417-0,C[N+](C)(CCCCCCCCCCCCCC)CCCSCCC[N+](C)(CCCCCCCCCCCCCC)C.[Br-].[Br-],,20,
XXXII,Hexadecyl,S,9.70E-06,,,,,28.1,,,10.1016/0021-9797(86)90417-0,C[N+](C)(CCCCCCCCCCCCCCCC)CCCSCCC[N+](C)(CCCCCCCCCCCCCCCC)C.[Br-].[Br-],,20,
XXXIII,Octadecyl,S,1.00E-06,,,,,33.7,,,10.1016/0021-9797(86)90417-0,C[N+](C)(CCCCCCCCCCCCCCCCCC)CCCSCCC[N+](C)(CCCCCCCCCCCCCCCCCC)C.[Br-].[Br-],,20,
