DOI,entry,SMILES,pCMC,AW_ST_CMC/ mN/m,gamma * 10^6 mol/m^2,Area * 10^6 m^2,deltaG ads kJ/mol,Type_of_surfactant
10.1111/cbdd.12236,42,N1(CCCCCCCCCCCCCCCC)C=[N+](COCCCCOC[N+]2=CN(CCCCCCCCCCCCCCCC)C=C2)C=C1.[Cl-].[Cl-],3.58,31.5,2.11,86,29.3,cationic gemini
10.1111/cbdd.12236,43,N1(C)C=[N+](COCCCCCOC[N+]2=CN(C)C=C2)C=C1.[Cl-].[Cl-],2.25,58.5,2.68,58,21.2,cationic gemini
10.1111/cbdd.12236,44,N1(CC)C=[N+](COCCCCCOC[N+]2=CN(CC)C=C2)C=C1.[Cl-].[Cl-],2.33,56.6,2.64,60,21.7,cationic gemini
10.1111/cbdd.12236,45,N1(CCC)C=[N+](COCCCCCOC[N+]2=CN(CCC)C=C2)C=C1.[Cl-].[Cl-],2.41,55.7,2.6,62,22.2,cationic gemini
10.1111/cbdd.12236,46,N1(CCCC)C=[N+](COCCCCCOC[N+]2=CN(CCCC)C=C2)C=C1.[Cl-].[Cl-],2.49,53.9,2.56,64,22.7,cationic gemini
10.1111/cbdd.12236,47,N1(CCCCC)C=[N+](COCCCCCOC[N+]2=CN(CCCCC)C=C2)C=C1.[Cl-].[Cl-],2.58,52.1,2.52,66,23.2,cationic gemini
10.1111/cbdd.12236,48,N1(CCCCCC)C=[N+](COCCCCCOC[N+]2=CN(CCCCCC)C=C2)C=C1.[Cl-].[Cl-],2.67,50.1,2.48,68,23.7,cationic gemini
10.1111/cbdd.12236,49,N1(CCCCCCC)C=[N+](COCCCCCOC[N+]2=CN(CCCCCCC)C=C2)C=C1.[Cl-].[Cl-],2.75,47.8,2.44,70,24.2,cationic gemini
10.1111/cbdd.12236,50,N1(CCCCCCCC)C=[N+](COCCCCCOC[N+]2=CN(CCCCCCCC)C=C2)C=C1.[Cl-].[Cl-],2.83,45.6,2.4,72,24.8,cationic gemini
10.1111/cbdd.12236,51,N1(CCCCCCCCC)C=[N+](COCCCCCOC[N+]2=CN(CCCCCCCCC)C=C2)C=C1.[Cl-].[Cl-],2.91,44,2.36,74,25.3,cationic gemini
10.1111/cbdd.12236,52,N1(CCCCCCCCCC)C=[N+](COCCCCCOC[N+]2=CN(CCCCCCCCCC)C=C2)C=C1.[Cl-].[Cl-],3.07,41.9,2.32,76,25.9,cationic gemini
10.1111/cbdd.12236,53,N1(CCCCCCCCCCC)C=[N+](COCCCCCOC[N+]2=CN(CCCCCCCCCCC)C=C2)C=C1.[Cl-].[Cl-],3.16,40.1,2.28,78,26.5,cationic gemini
10.1111/cbdd.12236,54,N1(CCCCCCCCCCCC)C=[N+](COCCCCCOC[N+]2=CN(CCCCCCCCCCCC)C=C2)C=C1.[Cl-].[Cl-],3.25,38.1,2.24,80,27.1,cationic gemini
10.1111/cbdd.12236,55,N1(CCCCCCCCCCCCCC)C=[N+](COCCCCCOC[N+]2=CN(CCCCCCCCCCCCCC)C=C2)C=C1.[Cl-].[Cl-],3.43,33.9,2.16,84,28.3,cationic gemini
10.1111/cbdd.12236,56,N1(CCCCCCCCCCCCCCCC)C=[N+](COCCCCCOC[N+]2=CN(CCCCCCCCCCCCCCCC)C=C2)C=C1.[Cl-].[Cl-],3.61,29.6,2.08,88,29.6,cationic gemini
10.1111/cbdd.12236,57,N1(C)C=[N+](COCCCCCCOC[N+]2=CN(C)C=C2)C=C1.[Cl-].[Cl-],2.29,47.1,2.73,56,29.3,cationic gemini
10.1111/cbdd.12236,58,N1(CC)C=[N+](COCCCCCCOC[N+]2=CN(CC)C=C2)C=C1.[Cl-].[Cl-],2.37,44.8,2.66,59,30.2,cationic gemini
10.1111/cbdd.12236,59,N1(CCC)C=[N+](COCCCCCCOC[N+]2=CN(CCC)C=C2)C=C1.[Cl-].[Cl-],2.45,42.6,2.59,62,30.9,cationic gemini
10.1111/cbdd.12236,60,N1(CCCC)C=[N+](COCCCCCCOC[N+]2=CN(CCCC)C=C2)C=C1.[Cl-].[Cl-],2.54,39.4,2.53,65,31.5,cationic gemini
10.1111/cbdd.12236,61,N1(CCCCC)C=[N+](COCCCCCCOC[N+]2=CN(CCCCC)C=C2)C=C1.[Cl-].[Cl-],2.62,37.6,2.47,68,32.1,cationic gemini
10.1111/cbdd.12236,62,N1(CCCCCC)C=[N+](COCCCCCCOC[N+]2=CN(CCCCCC)C=C2)C=C1.[Cl-].[Cl-],2.71,36.3,2.41,71,32.6,cationic gemini
10.1111/cbdd.12236,63,N1(CCCCCCC)C=[N+](COCCCCCCOC[N+]2=CN(CCCCCCC)C=C2)C=C1.[Cl-].[Cl-],2.79,35.1,2.34,74,33.1,cationic gemini
10.1111/cbdd.12236,64,N1(CCCCCCCC)C=[N+](COCCCCCCOC[N+]2=CN(CCCCCCCC)C=C2)C=C1.[Cl-].[Cl-],2.87,34.2,2.28,77,33.6,cationic gemini
10.1111/cbdd.12236,65,N1(CCCCCCCCC)C=[N+](COCCCCCCOC[N+]2=CN(CCCCCCCCC)C=C2)C=C1.[Cl-].[Cl-],2.95,33.3,2.22,80,34,cationic gemini
10.1111/cbdd.12236,66,N1(CCCCCCCCCC)C=[N+](COCCCCCCOC[N+]2=CN(CCCCCCCCCC)C=C2)C=C1.[Cl-].[Cl-],3.07,32.2,2.15,83,34.4,cationic gemini
10.1111/cbdd.12236,67,N1(CCCCCCCCCCC)C=[N+](COCCCCCCOC[N+]2=CN(CCCCCCCCCCC)C=C2)C=C1.[Cl-].[Cl-],3.2,31.2,2.09,86,34.8,cationic gemini
10.1111/cbdd.12236,68,N1(CCCCCCCCCCCC)C=[N+](COCCCCCCOC[N+]2=CN(CCCCCCCCCCCC)C=C2)C=C1.[Cl-].[Cl-],3.29,30.3,2.03,89,35.2,cationic gemini
10.1111/cbdd.12236,69,N1(CCCCCCCCCCCCCC)C=[N+](COCCCCCCOC[N+]2=CN(CCCCCCCCCCCCCC)C=C2)C=C1.[Cl-].[Cl-],3.47,28.3,1.9,95,36.1,cationic gemini
10.1111/cbdd.12236,70,N1(CCCCCCCCCCCCCCCC)C=[N+](COCCCCCCOC[N+]2=CN(CCCCCCCCCCCCCCCC)C=C2)C=C1.[Cl-].[Cl-],3.65,26.4,1.77,101,37.1,cationic gemini
