identifier,pCMC,method,SMILES,Molecular_Weight,InChI,source_doi,reference_doi,reference_key,CMC
"N-methyl-N,N-dipropylhexadecan-1-aminium bromide",3.69,,CCCCCCCCCCCCCCCC[N+](C)(CCC)CCC.[Br-],420.56400000000036,"InChI=1S/C23H50N.BrH/c1-5-8-9-10-11-12-13-14-15-16-17-18-19-20-23-24(4,21-6-2)22-7-3;/h5-23H2,1-4H3;1H/q+1;/p-1",10.1016/j.compchemeng.2008.09.011,10.1002/chem.200500244,das2005,0.00020417379446695296
"N,N,N-tripropylhexadecan-1-aminium bromide",3.86,,CCCCCCCCCCCCCCCC[N+](CCC)(CCC)CCC.[Br-],448.61800000000045,"InChI=1S/C25H54N.BrH/c1-5-9-10-11-12-13-14-15-16-17-18-19-20-21-25-26(22-6-2,23-7-3)24-8-4;/h5-25H2,1-4H3;1H/q+1;/p-1",10.1016/j.compchemeng.2008.09.011,10.1002/chem.200500244,das2005,0.00013803842646028852
"2-hydroxy-N-(2-hydroxyethyl)-N,N-dimethylhexadecan-1aminium chloride",2.752,,CCCCCCCCCCCCCCC(O)C[N+](C)(C)CCO.[Cl-],366.0300000000002,"InChI=1S/C20H44NO2.ClH/c1-4-5-6-7-8-9-10-11-12-13-14-15-16-20(23)19-21(2,3)17-18-22;/h20,22-23H,4-19H2,1-3H3;1H/q+1;/p-1",10.1016/j.compchemeng.2008.09.011,10.1016/S0968-0896(02)00245-6,wong2002,0.001770108958317422
"2-hydroxy-N,N-bis(2-hydroxyethyl)-N-methylhexadecan1-aminium chloride ",2.772,,CCCCCCCCCCCCCCC(O)C[N+](C)(CCO)CCO.[Cl-],396.0560000000003,"InChI=1S/C21H46NO3.ClH/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-21(25)20-22(2,16-18-23)17-19-24;/h21,23-25H,3-20H2,1-2H3;1H/q+1;/p-1",10.1016/j.compchemeng.2008.09.011,10.1016/S0968-0896(02)00245-6,wong2002,0.001690440931643265
"2-hydroxy-N,N,N-trimethylhexadecan-1-aminium chloride",2.715,,CCCCCCCCCCCCCCC(O)C[N+](C)(C)C.[Cl-],336.00400000000013,"InChI=1S/C19H42NO.ClH/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-19(21)18-20(2,3)4;/h19,21H,5-18H2,1-4H3;1H/q+1;/p-1",10.1016/j.compchemeng.2008.09.011,10.1016/S0968-0896(02)00245-6,wong2002,0.0019275249131909366
"11,11,12,12,13,14,14,14-octafluoro-N,N,N-trimethyl-13(trifluoromethyl)tetradecan-1-aminium bromide",2.845,,C[N+](C)(C)CCCCCCCCCCC(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F.[Br-],548.3190000000001,"InChI=1S/C18H29F11N.BrH/c1-30(2,3)13-11-9-7-5-4-6-8-10-12-14(19,20)16(22,23)15(21,17(24,25)26)18(27,28)29;/h4-13H2,1-3H3;1H/q+1;/p-1",10.1016/j.compchemeng.2008.09.011,10.1016/j.jcis.2005.01.108,li2005a,0.0014288939585111022
"12,12,13,13,14,14,15,15,15-nonafluoro-N,N,Ntrimethylpentadecan-1-aminium bromide",2.801,,C[N+](C)(C)CCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Br-],512.3389999999999,"InChI=1S/C18H31F9N.BrH/c1-28(2,3)14-12-10-8-6-4-5-7-9-11-13-15(19,20)16(21,22)17(23,24)18(25,26)27;/h4-14H2,1-3H3;1H/q+1;/p-1",10.1016/j.compchemeng.2008.09.011,10.1016/j.jcis.2005.01.108,li2005a,0.0015812480392703827
"9,9,10,10,11,11,12,12,13,13,14,14,14-tridecafluoro-N,N,Ntrimethyltetradecan-1-aminium bromide ",2.983,,C[N+](C)(C)CCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Br-],570.2719999999999,"InChI=1S/C17H25F13N.BrH/c1-31(2,3)11-9-7-5-4-6-8-10-12(18,19)13(20,21)14(22,23)15(24,25)16(26,27)17(28,29)30;/h4-11H2,1-3H3;1H/q+1;/p-1",10.1016/j.compchemeng.2008.09.011,10.1016/j.jcis.2005.01.108,li2005a,0.001039920165829059
"7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,14-heptadecafluoroN,N,N-trimethyltetradecan-1-aminium bromide",3.377,,C[N+](C)(C)CCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Br-],642.2320000000003,"InChI=1S/C17H21F17N.BrH/c1-35(2,3)9-7-5-4-6-8-10(18,19)11(20,21)12(22,23)13(24,25)14(26,27)15(28,29)16(30,31)17(32,33)34;/h4-9H2,1-3H3;1H/q+1;/p-1",10.1016/j.compchemeng.2008.09.011,10.1016/j.jcis.2005.01.108,li2005a,0.00041975898399100776
1-decylpyridinium chloride,1.061,,CCCCCCCCCC[n+]1ccccc1.[Cl-],255.833,"InChI=1S/C15H26N.ClH/c1-2-3-4-5-6-7-8-10-13-16-14-11-9-12-15-16;/h9,11-12,14-15H,2-8,10,13H2,1H3;1H/q+1;/p-1",10.1016/j.compchemeng.2008.09.011,10.1007/s11743-003-0244-7,jalali-heravi2003,0.0868960429286302
