identifier,method,Temp_Celsius,AW_ST_CMC,Pi_CMC,source_doi,reference_doi,SMILES,CMC,pCMC,Molecular_Weight,InChI
C12mimCl,conductometry,25,,,10.1021/je400861g,10.1016/j.jcis.2009.03.017,CCCCCCCCCCCCn1cc[n+](C)c1.[Cl-],,,286.89099999999996,"InChI=1S/C16H31N2.ClH/c1-3-4-5-6-7-8-9-10-11-12-13-18-15-14-17(2)16-18;/h14-16H,3-13H2,1-2H3;1H/q+1;/p-1"
C12mimCl,conductometry,25,,,10.1021/je400861g,10.1039/b615406a,CCCCCCCCCCCCn1cc[n+](C)c1.[Cl-],0.015,1.8239087409443189,286.89099999999996,"InChI=1S/C16H31N2.ClH/c1-3-4-5-6-7-8-9-10-11-12-13-18-15-14-17(2)16-18;/h14-16H,3-13H2,1-2H3;1H/q+1;/p-1"
C14mimCl,conductometry,25,,,10.1021/je400861g,10.1039/b615406a,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Cl-],0.004,2.3979400086720375,314.94499999999994,"InChI=1S/C18H35N2.ClH/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-20-17-16-19(2)18-20;/h16-18H,3-15H2,1-2H3;1H/q+1;/p-1"
C14mimCl,conductometry,25,,,10.1021/je400861g,10.1016/j.jcis.2009.03.017,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Cl-],,,314.94499999999994,"InChI=1S/C18H35N2.ClH/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-20-17-16-19(2)18-20;/h16-18H,3-15H2,1-2H3;1H/q+1;/p-1"
C16mimCl,conductometry,25,,,10.1021/je400861g,10.1021/ar700068x,CCCCCCCCCCCCCCCCn1cc[n+](C)c1.[Cl-],0.00087,3.0604807473813813,342.9989999999999,"InChI=1S/C20H39N2.ClH/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-22-19-18-21(2)20-22;/h18-20H,3-17H2,1-2H3;1H/q+1;/p-1"
C16mimCl,conductometry,25,,,10.1021/je400861g,10.1016/j.jcis.2009.03.017,CCCCCCCCCCCCCCCCn1cc[n+](C)c1.[Cl-],,,342.9989999999999,"InChI=1S/C20H39N2.ClH/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-22-19-18-21(2)20-22;/h18-20H,3-17H2,1-2H3;1H/q+1;/p-1"
C12mimBr,conductometry,25,,,10.1021/je400861g,10.1021/je900290w,CCCCCCCCCCCCn1cc[n+](C)c1.[Br-],0.00968,2.0141246426916064,331.342,"InChI=1S/C16H31N2.BrH/c1-3-4-5-6-7-8-9-10-11-12-13-18-15-14-17(2)16-18;/h14-16H,3-13H2,1-2H3;1H/q+1;/p-1"
C12mimBr,conductometry,25,,,10.1021/je400861g,10.1016/j.colsurfa.2006.11.049,CCCCCCCCCCCCn1cc[n+](C)c1.[Br-],,,331.342,"InChI=1S/C16H31N2.BrH/c1-3-4-5-6-7-8-9-10-11-12-13-18-15-14-17(2)16-18;/h14-16H,3-13H2,1-2H3;1H/q+1;/p-1"
C14mimBr,conductometry,25,,,10.1021/je400861g,10.1021/je900290w,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],0.00269,2.570247719997592,359.39599999999996,"InChI=1S/C18H35N2.BrH/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-20-17-16-19(2)18-20;/h16-18H,3-15H2,1-2H3;1H/q+1;/p-1"
C14mimBr,conductometry,25,,,10.1021/je400861g,10.1016/j.colsurfa.2006.11.049,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],,,359.39599999999996,"InChI=1S/C18H35N2.BrH/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-20-17-16-19(2)18-20;/h16-18H,3-15H2,1-2H3;1H/q+1;/p-1"
C16mimBr,conductometry,25,,,10.1021/je400861g,10.1021/je900290w,CCCCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],0.00051,3.2924298239020637,387.44999999999993,"InChI=1S/C20H39N2.BrH/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-22-19-18-21(2)20-22;/h18-20H,3-17H2,1-2H3;1H/q+1;/p-1"
