Surfactant,Temperature/ K,CMC/ mM,α,ΔGo/ Kcal/mol,source_doi,SMILES,reference_doi,method
C14E2TAB,298.15,0.91,0.19,-11.81,10.1007/BF01550555,CCCCCCCCCCCCCCOCCOCC[N+](C)(C)C.[Br-],,conductometry
C14E2TAB,303.15,0.94,0.22,-11.78,10.1007/BF01550555,CCCCCCCCCCCCCCOCCOCC[N+](C)(C)C.[Br-],,conductometry
C14E2TAB,308.15,0.95,0.26,-11.69,10.1007/BF01550555,CCCCCCCCCCCCCCOCCOCC[N+](C)(C)C.[Br-],,conductometry
C14E2TAB,318.15,1.04,0.27,-11.91,10.1007/BF01550555,CCCCCCCCCCCCCCOCCOCC[N+](C)(C)C.[Br-],,conductometry
C14E2TAB,333.15,1.23,0.3,-12.06,10.1007/BF01550555,CCCCCCCCCCCCCCOCCOCC[N+](C)(C)C.[Br-],,conductometry
C16E2TAB,278.15,0.22,0.08,-13.2,10.1007/BF01550555,CCCCCCCCCCCCCCCCOCCOCC[N+](C)(C)C.[Br-],,conductometry
C16E2TAB,288.15,0.22,0.08,-13.68,10.1007/BF01550555,CCCCCCCCCCCCCCCCOCCOCC[N+](C)(C)C.[Br-],,conductometry
C16E2TAB,293.15,0.22,0.08,-13.92,10.1007/BF01550555,CCCCCCCCCCCCCCCCOCCOCC[N+](C)(C)C.[Br-],,conductometry
C16E2TAB,298.15,0.23,0.08,-14.12,10.1007/BF01550555,CCCCCCCCCCCCCCCCOCCOCC[N+](C)(C)C.[Br-],,conductometry
C16E2TAB,303.15,0.23,0.0.9,-14.25,10.1007/BF01550555,CCCCCCCCCCCCCCCCOCCOCC[N+](C)(C)C.[Br-],,conductometry
C16E2TAB,308.15,0.26,0.1,-14.29,10.1007/BF01550555,CCCCCCCCCCCCCCCCOCCOCC[N+](C)(C)C.[Br-],,conductometry
C16E2TAB,318.15,0.26,0.11,-14.65,10.1007/BF01550555,CCCCCCCCCCCCCCCCOCCOCC[N+](C)(C)C.[Br-],,conductometry
C16E2TAB,333.15,0.3,0.13,-15,10.1007/BF01550555,CCCCCCCCCCCCCCCCOCCOCC[N+](C)(C)C.[Br-],,conductometry
